date,value
1210,2.58
1211,12.22
1212,-12.32
1213,-3.37
1214,-3.37
1215,6.34
1216,6.34
1217,15.78
1218,16.62
1219,-3.13
1220,-12.67
1221,11.96
1222,-15.56
1223,-15.56
1224,10.33
1225,49.66
1226,-9.56
1227,0.01
1228,-1.81
1229,-1.81
1230,-1.81
1231,-1.81
1232,-1.81
1233,-5.97
1234,0.85
1235,0.85
1236,-2.85
1237,10.23
1238,-2.84
1239,-2.84
1240,-2.84
1241,-2.84
1242,-2.84
1243,-2.84
1244,-2.84
1245,-2.84
1246,15.15
1247,32.36
1248,-1.27
1249,-26.06
1250,9.46
1251,-6.64
1252,2.82
1253,14.95
1254,-23.60
1255,2.77
1256,27.33
1257,15.91
1258,-1.67
1259,-4.52
1260,-10.82
1261,6.00
1262,1.35
1263,-10.09
1264,1.78
1265,3.65
1266,0.62
1267,7.35
1268,-14.57
1269,19.28
1270,-2.09
1271,26.09
1272,5.06
1273,-17.02
1274,13.59
1275,-2.20
1276,-10.82
1277,13.26
1278,-13.48
1279,-7.65
1280,13.20
1281,-6.62
1282,15.54
1283,-3.70
1284,0.70
1285,-16.05
1286,8.10
1287,-10.01
1288,-18.14
1289,8.11
1290,16.37
1291,17.12
1292,-6.50
1293,0.44
1294,16.53
1295,4.38
1296,-5.10
1297,-13.84
1298,8.06
1299,-0.09
1300,2.50
1301,-5.72
1302,-4.54
1303,-5.44
1304,-4.16
1305,11.64
1306,1.33
1307,-4.47
1308,11.21
1309,15.75
1310,5.41
1311,0.88
1312,-18.28
1313,-2.47
1314,8.57
1315,6.92
1316,41.58
1317,1.66
1318,-25.62
1319,-24.91
1320,12.49
1321,7.05
1322,34.85
1323,-13.91
1324,-14.58
1325,7.74
1326,-15.17
1327,-13.32
1328,9.35
1329,10.65
1330,0.56
1331,7.59
1332,1.93
1333,-17.43
1334,-5.72
1335,-0.81
1336,4.59
1337,-6.36
1338,-9.67
1339,-8.44
1340,30.27
1341,-14.75
1342,4.69
1343,-2.30
1344,11.82
1345,-11.65
1346,5.17
1347,22.57
1348,-0.21
1349,-20.43
1350,19.59
1351,19.12
1352,13.85
1353,-21.03
1354,-5.26
1355,4.31
1356,4.98
1357,3.40
1358,1.07
1359,-5.45
1360,0.85
1361,-0.61
1362,-4.36
1363,15.75
1364,6.87
1365,-8.95
1366,-8.39
1367,2.06
1368,9.37
1369,-0.14
1370,39.51
1371,-26.05
1372,-8.95
1373,9.69
1374,-12.35
1375,18.26
1376,-1.57
1377,-21.82
1378,-6.15
1379,-4.51
1380,20.11
1381,1.42
1382,-7.90
1383,-1.07
1384,0.81
1385,-3.95
1386,5.94
1387,-6.76
1388,-7.20
1389,-6.71
1390,27.58
1391,17.24
1392,-18.89
1393,-13.41
1394,3.12
1395,3.09
1396,0.72
1397,17.47
1398,-2.17
1399,-4.68
1400,2.70
1401,6.95
1402,12.49
1403,-11.74
1404,-11.49
1405,-1.74
1406,-6.65
1407,7.38
1408,9.48
1409,8.21
1410,8.67
1411,-13.83
1412,-7.48
1413,0.54
1414,-2.95
1415,1.20
1416,12.40
1417,8.94
1418,-13.07
1419,5.36
1420,-11.45
1421,7.98
1422,-4.87
1423,-7.41
1424,0.87
1425,7.85
1426,-3.96
1427,-4.36
1428,1.60
1429,24.93
1430,-0.68
1431,-10.77
1432,-11.33
1433,21.34
1434,-9.40
1435,-4.72
1436,6.83
1437,-2.20
1438,30.87
1439,5.09
1440,-16.75
1441,-24.38
1442,3.85
1443,1.64
1444,-1.26
1445,-4.81
1446,15.13
1447,3.53
1448,-7.96
1449,3.87
1450,-2.30
1451,3.83
1452,1.66
1453,-2.61
1454,-4.05
1455,-5.54
1456,5.81
1457,1.44
1458,6.32
1459,-1.39
1460,-1.15
1461,12.41
1462,0.53
1463,-20.39
1464,-6.91
1465,10.59
1466,2.20
1467,5.12
1468,4.54
1469,-1.56
1470,2.64
1471,0.44
1472,-3.34
1473,-9.48
1474,-0.28
1475,0.47
1476,5.54
1477,1.04
1478,7.91
