value,date
100.00,1970-01-01
100.00,1970-02-01
100.00,1970-03-01
100.00,1970-04-01
100.00,1970-05-01
100.00,1970-06-01
100.00,1970-07-01
100.00,1970-08-01
100.00,1970-09-01
100.00,1970-10-01
100.00,1970-11-01
100.00,1970-12-01
100.26,1971-01-01
100.26,1971-02-01
100.26,1971-03-01
100.26,1971-04-01
100.26,1971-05-01
100.26,1971-06-01
100.26,1971-07-01
100.26,1971-08-01
100.26,1971-09-01
100.26,1971-10-01
100.26,1971-11-01
100.26,1971-12-01
100.13,1972-01-01
100.13,1972-02-01
100.13,1972-03-01
100.13,1972-04-01
100.13,1972-05-01
100.13,1972-06-01
100.13,1972-07-01
100.13,1972-08-01
100.13,1972-09-01
100.13,1972-10-01
100.13,1972-11-01
100.13,1972-12-01
103.78,1973-01-01
103.78,1973-02-01
103.78,1973-03-01
103.78,1973-04-01
103.78,1973-05-01
103.78,1973-06-01
103.78,1973-07-01
103.78,1973-08-01
103.78,1973-09-01
103.78,1973-10-01
103.78,1973-11-01
103.78,1973-12-01
110.17,1974-01-01
110.17,1974-02-01
110.17,1974-03-01
110.17,1974-04-01
110.17,1974-05-01
110.17,1974-06-01
110.17,1974-07-01
110.17,1974-08-01
110.17,1974-09-01
110.17,1974-10-01
110.17,1974-11-01
110.17,1974-12-01
123.73,1975-01-01
123.73,1975-02-01
123.73,1975-03-01
123.73,1975-04-01
123.73,1975-05-01
123.73,1975-06-01
123.73,1975-07-01
123.73,1975-08-01
123.73,1975-09-01
123.73,1975-10-01
123.73,1975-11-01
123.73,1975-12-01
119.17,1976-01-01
119.17,1976-02-01
119.17,1976-03-01
119.17,1976-04-01
119.17,1976-05-01
119.17,1976-06-01
119.17,1976-07-01
119.17,1976-08-01
119.17,1976-09-01
119.17,1976-10-01
119.17,1976-11-01
119.17,1976-12-01
113.95,1977-01-01
113.95,1977-02-01
113.95,1977-03-01
113.95,1977-04-01
113.95,1977-05-01
113.95,1977-06-01
113.95,1977-07-01
113.95,1977-08-01
113.95,1977-09-01
113.95,1977-10-01
113.95,1977-11-01
113.95,1977-12-01
116.82,1978-01-01
116.82,1978-02-01
116.82,1978-03-01
116.82,1978-04-01
116.82,1978-05-01
116.82,1978-06-01
116.82,1978-07-01
116.82,1978-08-01
116.82,1978-09-01
116.82,1978-10-01
116.82,1978-11-01
116.82,1978-12-01
133.12,1979-01-01
133.12,1979-02-01
133.12,1979-03-01
133.12,1979-04-01
133.12,1979-05-01
133.12,1979-06-01
133.12,1979-07-01
133.12,1979-08-01
133.12,1979-09-01
133.12,1979-10-01
133.12,1979-11-01
133.12,1979-12-01
168.06,1980-01-01
168.06,1980-02-01
168.06,1980-03-01
168.06,1980-04-01
168.06,1980-05-01
168.06,1980-06-01
168.06,1980-07-01
168.06,1980-08-01
168.06,1980-09-01
168.06,1980-10-01
168.06,1980-11-01
168.06,1980-12-01
160.76,1981-01-01
160.76,1981-02-01
160.76,1981-03-01
160.76,1981-04-01
160.76,1981-05-01
160.76,1981-06-01
160.76,1981-07-01
160.76,1981-08-01
160.76,1981-09-01
160.76,1981-10-01
160.76,1981-11-01
160.76,1981-12-01
137.16,1982-01-01
137.16,1982-02-01
137.16,1982-03-01
137.16,1982-04-01
137.16,1982-05-01
137.16,1982-06-01
137.16,1982-07-01
137.16,1982-08-01
137.16,1982-09-01
137.16,1982-10-01
137.16,1982-11-01
137.16,1982-12-01
137.81,1983-01-01
137.81,1983-02-01
137.81,1983-03-01
137.81,1983-04-01
137.81,1983-05-01
137.81,1983-06-01
137.81,1983-07-01
137.81,1983-08-01
137.81,1983-09-01
137.81,1983-10-01
137.81,1983-11-01
137.81,1983-12-01
149.28,1984-01-01
149.28,1984-02-01
149.28,1984-03-01
149.28,1984-04-01
149.28,1984-05-01
149.28,1984-06-01
149.28,1984-07-01
149.28,1984-08-01
149.28,1984-09-01
149.28,1984-10-01
149.28,1984-11-01
149.28,1984-12-01
157.63,1985-01-01
157.63,1985-02-01
157.63,1985-03-01
157.63,1985-04-01
157.63,1985-05-01
157.63,1985-06-01
157.63,1985-07-01
157.63,1985-08-01
157.63,1985-09-01
157.63,1985-10-01
157.63,1985-11-01
157.63,1985-12-01
153.46,1986-01-01
153.46,1986-02-01
153.46,1986-03-01
153.46,1986-04-01
153.46,1986-05-01
153.46,1986-06-01
153.46,1986-07-01
153.46,1986-08-01
153.46,1986-09-01
153.46,1986-10-01
153.46,1986-11-01
153.46,1986-12-01
149.41,1987-01-01
149.41,1987-02-01
149.41,1987-03-01
149.41,1987-04-01
149.41,1987-05-01
149.41,1987-06-01
149.41,1987-07-01
149.41,1987-08-01
149.41,1987-09-01
149.41,1987-10-01
149.41,1987-11-01
149.41,1987-12-01
158.02,1988-01-01
158.02,1988-02-01
158.02,1988-03-01
158.02,1988-04-01
158.02,1988-05-01
158.02,1988-06-01
158.02,1988-07-01
158.02,1988-08-01
158.02,1988-09-01
158.02,1988-10-01
158.02,1988-11-01
158.02,1988-12-01
167.93,1989-01-01
167.93,1989-02-01
167.93,1989-03-01
167.93,1989-04-01
167.93,1989-05-01
167.93,1989-06-01
167.93,1989-07-01
167.93,1989-08-01
167.93,1989-09-01
167.93,1989-10-01
167.93,1989-11-01
167.93,1989-12-01
175.10,1990-01-01
175.10,1990-02-01
175.10,1990-03-01
175.10,1990-04-01
175.10,1990-05-01
175.10,1990-06-01
175.10,1990-07-01
175.10,1990-08-01
175.10,1990-09-01
175.10,1990-10-01
175.10,1990-11-01
175.10,1990-12-01
173.92,1991-01-01
173.92,1991-02-01
173.92,1991-03-01
173.92,1991-04-01
173.92,1991-05-01
173.92,1991-06-01
173.92,1991-07-01
173.92,1991-08-01
173.92,1991-09-01
173.92,1991-10-01
173.92,1991-11-01
173.92,1991-12-01
188.27,1992-01-01
188.27,1992-02-01
188.27,1992-03-01
188.27,1992-04-01
188.27,1992-05-01
188.27,1992-06-01
188.27,1992-07-01
188.27,1992-08-01
188.27,1992-09-01
188.27,1992-10-01
188.27,1992-11-01
188.27,1992-12-01
191.66,1993-01-01
191.66,1993-02-01
191.66,1993-03-01
191.66,1993-04-01
191.66,1993-05-01
191.66,1993-06-01
191.66,1993-07-01
191.66,1993-08-01
191.66,1993-09-01
191.66,1993-10-01
191.66,1993-11-01
191.66,1993-12-01
168.45,1994-01-01
168.45,1994-02-01
168.45,1994-03-01
168.45,1994-04-01
168.45,1994-05-01
168.45,1994-06-01
168.45,1994-07-01
168.45,1994-08-01
168.45,1994-09-01
168.45,1994-10-01
168.45,1994-11-01
168.45,1994-12-01
151.76,1995-01-01
151.76,1995-02-01
151.76,1995-03-01
151.76,1995-04-01
151.76,1995-05-01
151.76,1995-06-01
151.76,1995-07-01
151.76,1995-08-01
151.76,1995-09-01
151.76,1995-10-01
151.76,1995-11-01
151.76,1995-12-01
166.23,1996-01-01
166.23,1996-02-01
166.23,1996-03-01
166.23,1996-04-01
166.23,1996-05-01
166.23,1996-06-01
166.23,1996-07-01
166.23,1996-08-01
166.23,1996-09-01
166.23,1996-10-01
166.23,1996-11-01
166.23,1996-12-01
168.97,1997-01-01
168.97,1997-02-01
168.97,1997-03-01
168.97,1997-04-01
168.97,1997-05-01
168.97,1997-06-01
168.97,1997-07-01
168.97,1997-08-01
168.97,1997-09-01
168.97,1997-10-01
168.97,1997-11-01
168.97,1997-12-01
164.67,1998-01-01
164.67,1998-02-01
164.67,1998-03-01
164.67,1998-04-01
164.67,1998-05-01
164.67,1998-06-01
164.67,1998-07-01
164.67,1998-08-01
164.67,1998-09-01
164.67,1998-10-01
164.67,1998-11-01
164.67,1998-12-01
160.89,1999-01-01
160.89,1999-02-01
160.89,1999-03-01
160.89,1999-04-01
160.89,1999-05-01
160.89,1999-06-01
160.89,1999-07-01
160.89,1999-08-01
160.89,1999-09-01
160.89,1999-10-01
160.89,1999-11-01
160.89,1999-12-01
