date,value1,value2
1970,-0.18,0.52
1971,-1.17,0.11
1972,-2.32,-0.50
1973,-3.43,-1.11
1974,-4.35,-1.49
1975,-4.91,-1.48
1976,-5.03,-1.17
1977,-4.85,-0.72
1978,-4.55,-0.25
1979,-4.20,0.16
1980,-3.82,0.48
1981,-3.43,0.63
1982,-3.09,0.52
1983,-2.80,0.22
1984,-2.44,-0.24
1985,-1.96,-0.81
1986,-1.42,-1.46
1987,-0.96,-2.12
1988,-0.80,-2.63
1989,-1.12,-2.80
1990,-1.96,-2.61
1991,-3.12,-2.16
1992,-4.22,-1.64
1993,-4.86,-1.17
1994,-4.82,-0.79
1995,-4.14,-0.58
1996,-3.04,-0.52
1997,-1.81,-0.63
1998,-0.74,-0.88
1999,-0.12,-1.20
2000,-0.09,-1.51
2001,-0.62,-1.77
2002,-1.45,-1.98
2003,-2.26,-2.20
2004,-2.91,-2.43
2005,-3.43,-2.69
2006,-3.97,-2.96
2007,-4.68,-3.15
2008,-5.57,-3.21
2009,-6.37,-3.18
2010,-6.77,-3.17
2011,-6.67,-3.35
2012,-6.19,-3.73
2013,-5.44,-4.20
2014,-4.60,-4.56
2015,-3.81,-4.69
2016,-3.27,-4.55
2017,-3.17,-4.22
2018,-3.64,-3.84
2019,-4.64,-3.51
2020,-5.82,-3.37
2021,-6.70,-3.43
