date,value1,value2
1987,-1.2,1.3
1988,-3.3,3.3
1989,-3.8,3.8
1990,-2.9,2.8
1991,-1.1,1
1992,-1.3,1.2
1993,-1,1
1994,-0.1,0.2
1995,-0.2,0.3
1996,-0.2,0.1
1997,-0.1,0.1
1998,-0.3,0.3
1999,-2.1,2.1
2000,-1.9,1.8
2001,-1.8,1.8
2002,-2.1,2.1
2003,-1.8,1.9
2004,-2.4,2.4
2005,-2.1,2.1
2006,-3.2,3.3
2007,-3.8,3.8
2008,-3.9,4
2009,-3.2,3.1
2010,-2.9,2.9
2011,-1.8,1.9
2012,-3.3,3.3
2013,-4.9,4.9
2014,-5.2,5.3
2015,-5.1,5.2
2016,-5.6,5.6
2017,-3.7,3.7
2018,-4.3,4.2
2019,-3,2.9
2020,-3.3,3.3
2021,-2.2,2.1
