Date,Real Price,Lines
1988-02-01,1.421615,
1988-03-01,1.412752,
1988-04-01,1.400678,
1988-05-01,1.403209,
1988-06-01,1.398493,
1988-07-01,1.409436,
1988-08-01,null,
1988-09-01,1.420406,
1988-10-01,1.420502,
1988-11-01,1.430244,
1988-12-01,1.438971,
1989-01-01,1.429777,
1989-02-01,null,
1989-03-01,1.437814,
1989-04-01,null,
1989-05-01,1.458015,
1989-06-01,1.471566,
1989-07-01,1.470288,
1989-08-01,1.471155,
1989-09-01,1.46891,
1989-10-01,1.45793,
1989-11-01,1.457705,
1989-12-01,1.458892,
1990-01-01,1.462138,
1990-02-01,1.490589,
1990-03-01,1.504839,
1990-04-01,1.490028,
1990-05-01,1.475949,
1990-06-01,1.47111,
1990-07-01,1.467894,
1990-08-01,1.462623,
1990-09-01,1.495976,
1990-10-01,1.492061,
1990-11-01,1.497078,
1990-12-01,1.512841,
1991-01-01,1.505434,
1991-02-01,1.518139,
1991-03-01,1.508551,
1991-04-01,1.518655,
1991-05-01,1.572134,
1991-06-01,1.593507,
1991-07-01,1.611261,
1991-08-01,1.611204,
1991-09-01,1.613721,
1991-10-01,1.615599,
1991-11-01,1.656452,
1991-12-01,1.668722,
1992-01-01,1.692156,
1992-02-01,1.659907,
1992-03-01,1.643808,
1992-04-01,1.621525,
1992-05-01,1.621005,
1992-06-01,1.624517,
1992-07-01,1.572095,
1992-08-01,1.580997,
1992-09-01,1.556389,
1992-10-01,1.57559,
1992-11-01,1.572421,
1992-12-01,1.565586,
1993-01-01,1.580469,
1993-02-01,1.572857,
1993-03-01,1.582802,
1993-04-01,1.551757,
1993-05-01,1.540122,
1993-06-01,1.54586,
1993-07-01,1.561905,
1993-08-01,1.559252,
1993-09-01,1.562943,
1993-10-01,1.570049,
1993-11-01,1.677926,
1993-12-01,1.724204,
1994-01-01,1.737805,
1994-02-01,1.768359,
1994-03-01,1.780293,
1994-04-01,1.796773,
1994-05-01,1.815511,
1994-06-01,1.809662,
1994-07-01,1.83393,
1994-08-01,1.841862,
1994-09-01,1.836751,
1994-10-01,1.833303,
1994-11-01,1.820745,
1994-12-01,1.80651,
1995-01-01,1.801959,
1995-02-01,1.794226,
1995-03-01,1.776103,
1995-04-01,1.802278,
1995-05-01,1.800777,
1995-06-01,1.796052,
1995-07-01,1.8588,
1995-08-01,1.82089,
1995-09-01,1.85913,
1995-10-01,1.882963,
1995-11-01,1.884809,
1995-12-01,1.891309,
1996-01-01,1.907462,
1996-02-01,1.929862,
1996-03-01,1.912408,
1996-04-01,1.914096,
1996-05-01,1.909393,
1996-06-01,1.937242,
1996-07-01,1.886207,
1996-08-01,1.897194,
1996-09-01,1.893226,
1996-10-01,1.905593,
1996-11-01,1.902297,
1996-12-01,1.884606,
1997-01-01,1.88704,
1997-02-01,1.893749,
1997-03-01,1.891276,
1997-04-01,1.888572,
1997-05-01,1.882781,
1997-06-01,1.878364,
1997-07-01,1.870984,
1997-08-01,1.875803,
1997-09-01,1.866927,
1997-10-01,1.857625,
1997-11-01,1.864589,
1997-12-01,1.862137,
1998-01-01,1.86994,
1998-02-01,2.029562,
1998-03-01,2.04391,
1998-04-01,2.024368,
1998-05-01,2.045322,
1998-06-01,2.049387,
1998-07-01,2.062201,
1998-08-01,2.047897,
1998-09-01,2.039016,
1998-10-01,2.036741,
1998-11-01,2.155174,
1998-12-01,2.185209,
1999-01-01,2.399828,
1999-02-01,2.415477,
1999-03-01,2.404423,
1999-04-01,2.428652,
1999-05-01,2.415037,
1999-06-01,2.431582,
1999-07-01,2.434952,
1999-08-01,2.489749,
1999-09-01,2.451262,
1999-10-01,2.389755,
1999-11-01,2.326022,
1999-12-01,2.332042,
2000-01-01,2.344391,
2000-02-01,2.324086,
2000-03-01,2.319849,
2000-04-01,2.309554,
2000-05-01,2.296242,
2000-06-01,2.2084,
2000-07-01,2.233758,
2000-08-01,2.251508,
2000-09-01,2.221646,
2000-10-01,2.228848,
2000-11-01,2.237445,
2000-12-01,2.248749,
2001-01-01,2.162086,VAT reduction
2001-02-01,2.159809,
2001-03-01,2.097318,
2001-04-01,1.984637,
2001-05-01,2.026031,
2001-06-01,2.03653,
2001-07-01,2.026113,
2001-08-01,1.983901,
2001-09-01,1.977275,
2001-10-01,1.945303,
2001-11-01,2.028121,
2001-12-01,2.010274,
2002-01-01,2.024647,
2002-02-01,2.043221,
2002-03-01,2.038283,
2002-04-01,1.957569,
2002-05-01,1.981572,
2002-06-01,1.953034,
2002-07-01,1.974043,
2002-08-01,1.96766,
2002-09-01,1.976907,
2002-10-01,1.988097,
2002-11-01,1.913707,
2002-12-01,1.931351,
2003-01-01,1.944734,
2003-02-01,1.939024,
2003-03-01,1.945654,
2003-04-01,1.923468,
2003-05-01,1.929203,
2003-06-01,1.924865,
2003-07-01,1.938707,
2003-08-01,1.935124,
2003-09-01,1.921387,
2003-10-01,1.896692,
2003-11-01,1.884903,
2003-12-01,1.886545,
2004-01-01,1.892681,
2004-02-01,1.871957,
2004-03-01,1.875722,
2004-04-01,1.884179,
2004-05-01,1.869621,
2004-06-01,1.850054,
2004-07-01,1.869538,
2004-08-01,1.883366,
2004-09-01,1.85455,
2004-10-01,1.865184,
2004-11-01,1.806539,
2004-12-01,1.796792,
2005-01-01,1.804081,
2005-02-01,1.814559,
2005-03-01,1.832202,
2005-04-01,1.800641,
2005-05-01,1.73572,
2005-06-01,1.785199,
2005-07-01,1.796541,
2005-08-01,1.778178,
2005-09-01,1.793662,
2005-10-01,1.796678,
2005-11-01,1.808528,
2005-12-01,1.780519,
2006-01-01,1.803017,
2006-02-01,1.806432,
2006-03-01,1.775229,
2006-04-01,1.748922,
2006-05-01,1.816516,
2006-06-01,1.829404,
2006-07-01,1.830722,
2006-08-01,1.822238,
2006-09-01,1.801591,
2006-10-01,1.799684,
2006-11-01,1.817598,
2006-12-01,1.798828,
2007-01-01,1.783772,
2007-02-01,1.7555,
2007-03-01,1.770075,
2007-04-01,1.781458,
2007-05-01,1.808427,
2007-06-01,1.807155,
2007-07-01,1.812918,
2007-08-01,1.778136,
2007-09-01,1.783162,
2007-10-01,1.756904,
2007-11-01,1.735727,
2007-12-01,1.727598,
2008-01-01,1.751959,
2008-02-01,1.78566,
2008-03-01,1.775598,
2008-04-01,1.8078,
2008-05-01,1.878613,
2008-06-01,2.020086,Exchange rate depreciation 
2008-07-01,2.100676,
2008-08-01,2.161252,
2008-09-01,2.165064,
2008-10-01,2.159038,
2008-11-01,2.117946,
2008-12-01,2.243652,
2009-01-01,2.202856,
2009-02-01,2.244008,
2009-03-01,2.239955,
2009-04-01,2.198548,
2009-05-01,2.178318,
2009-06-01,2.261748,
2009-07-01,2.24611,
2009-08-01,2.22394,
2009-09-01,2.16401,
2009-10-01,2.252874,
2009-11-01,2.141504,
2009-12-01,2.136459,
2010-01-01,2.113326,
2010-02-01,2.300856,
2010-03-01,2.181419,
2010-04-01,2.232718,
2010-05-01,2.181421,
2010-06-01,2.239106,
2010-07-01,2.174216,
2010-08-01,2.253386,
2010-09-01,2.261841,
2010-10-01,2.210396,
2010-11-01,2.218465,
2010-12-01,2.213744,
2011-01-01,2.25494,
2011-02-01,2.307164,
2011-03-01,2.268554,Cotton price surge
2011-04-01,2.374879,
2011-05-01,2.40588,
2011-06-01,2.399997,
2011-07-01,2.43299,
2011-08-01,2.351233,
2011-09-01,2.326416,
2011-10-01,2.235569,
2011-11-01,2.267294,
2011-12-01,2.222533,
2012-01-01,2.30848,
2012-02-01,2.302494,
2012-03-01,2.27189,
2012-04-01,2.289653,
2012-05-01,2.31818,
2012-06-01,2.28738,
2012-07-01,2.287981,
2012-08-01,2.218343,
2012-09-01,2.303091,
2012-10-01,2.264181,
2012-11-01,2.225391,
2012-12-01,2.179762,
2013-01-01,2.267511,
2013-02-01,2.258623,
2013-03-01,2.243422,
2013-04-01,2.272569,
2013-05-01,2.258069,
2013-06-01,2.27143,
2013-07-01,2.266977,
2013-08-01,2.217918,
2013-09-01,2.312747,
2013-10-01,2.228171,
2013-11-01,2.303852,
2013-12-01,2.359168,
2014-01-01,2.285835,
2014-02-01,2.268755,
2014-03-01,2.27922,
2014-04-01,2.229615,
2014-05-01,2.19197,
2014-06-01,2.173597,
2014-07-01,2.182395,
2014-08-01,2.194709,
2014-09-01,2.21805,
2014-10-01,2.161672,
2014-11-01,2.112396,
2014-12-01,2.157968,
2015-01-01,2.169291,
2015-02-01,2.122467,
2015-03-01,2.152412,
2015-04-01,2.158197,
2015-05-01,2.151363,
2015-06-01,2.138927,
2015-07-01,2.167449,
2015-08-01,2.128578,
2015-09-01,2.17143,
2015-10-01,2.153264,
2015-11-01,2.135608,
2015-12-01,2.196765,
2016-01-01,2.213955,
2016-02-01,2.198405,
2016-03-01,2.133659,
2016-04-01,2.133325,
2016-05-01,2.154107,
2016-06-01,2.13664,
2016-07-01,2.194647,
2016-08-01,2.169104,
2016-09-01,2.169358,
2016-10-01,2.107406,
2016-11-01,2.130272,
2016-12-01,2.132754,
2017-01-01,2.116659,
2017-02-01,2.150686,
2017-03-01,2.147208,
