Date,Transport type,Percentage
01/03/2020,National rail,97
02/03/2020,National rail,94
03/03/2020,National rail,95
04/03/2020,National rail,95
05/03/2020,National rail,97
06/03/2020,National rail,99
07/03/2020,National rail,99
08/03/2020,National rail,99
09/03/2020,National rail,100
10/03/2020,National rail,99
11/03/2020,National rail,98
12/03/2020,National rail,96
13/03/2020,National rail,92
14/03/2020,National rail,89
15/03/2020,National rail,85
16/03/2020,National rail,78
17/03/2020,National rail,69
18/03/2020,National rail,59
19/03/2020,National rail,51
20/03/2020,National rail,43
21/03/2020,National rail,37
22/03/2020,National rail,33
23/03/2020,National rail,25
24/03/2020,National rail,20
25/03/2020,National rail,16
26/03/2020,National rail,13
27/03/2020,National rail,10
28/03/2020,National rail,9
29/03/2020,National rail,8
30/03/2020,National rail,6
31/03/2020,National rail,5
01/04/2020,National rail,5
02/04/2020,National rail,5
03/04/2020,National rail,5
04/04/2020,National rail,5
05/04/2020,National rail,5
06/04/2020,National rail,5
07/04/2020,National rail,5
08/04/2020,National rail,5
09/04/2020,National rail,5
10/04/2020,National rail,4
11/04/2020,National rail,4
12/04/2020,National rail,4
13/04/2020,National rail,4
14/04/2020,National rail,4
15/04/2020,National rail,4
16/04/2020,National rail,4
17/04/2020,National rail,5
18/04/2020,National rail,5
19/04/2020,National rail,5
20/04/2020,National rail,6
21/04/2020,National rail,5
22/04/2020,National rail,5
23/04/2020,National rail,5
24/04/2020,National rail,4
25/04/2020,National rail,4
26/04/2020,National rail,4
27/04/2020,National rail,4
28/04/2020,National rail,4
29/04/2020,National rail,4
30/04/2020,National rail,4
01/05/2020,National rail,4
02/05/2020,National rail,4
03/05/2020,National rail,4
04/05/2020,National rail,5
05/05/2020,National rail,5
06/05/2020,National rail,5
07/05/2020,National rail,5
08/05/2020,National rail,5
09/05/2020,National rail,5
10/05/2020,National rail,5
11/05/2020,National rail,5
12/05/2020,National rail,5
13/05/2020,National rail,5
14/05/2020,National rail,5
15/05/2020,National rail,6
16/05/2020,National rail,6
17/05/2020,National rail,6
18/05/2020,National rail,6
19/05/2020,National rail,7
20/05/2020,National rail,7
21/05/2020,National rail,7
22/05/2020,National rail,7
23/05/2020,National rail,7
24/05/2020,National rail,7
25/05/2020,National rail,7
26/05/2020,National rail,7
27/05/2020,National rail,7
28/05/2020,National rail,7
29/05/2020,National rail,8
30/05/2020,National rail,8
31/05/2020,National rail,8
01/06/2020,National rail,8
02/06/2020,National rail,9
03/06/2020,National rail,10
04/06/2020,National rail,10
05/06/2020,National rail,11
06/06/2020,National rail,11
07/06/2020,National rail,12
08/06/2020,National rail,13
09/06/2020,National rail,13
10/06/2020,National rail,12
11/06/2020,National rail,12
12/06/2020,National rail,12
13/06/2020,National rail,13
14/06/2020,National rail,12
15/06/2020,National rail,12
16/06/2020,National rail,13
17/06/2020,National rail,13
18/06/2020,National rail,14
19/06/2020,National rail,14
20/06/2020,National rail,15
21/06/2020,National rail,15
22/06/2020,National rail,15
23/06/2020,National rail,15
24/06/2020,National rail,16
25/06/2020,National rail,16
26/06/2020,National rail,17
27/06/2020,National rail,16
28/06/2020,National rail,17
29/06/2020,National rail,16
30/06/2020,National rail,17
01/07/2020,National rail,16
02/07/2020,National rail,16
03/07/2020,National rail,17
04/07/2020,National rail,17
05/07/2020,National rail,18
06/07/2020,National rail,19
07/07/2020,National rail,19
08/07/2020,National rail,20
09/07/2020,National rail,21
10/07/2020,National rail,21
11/07/2020,National rail,22
12/07/2020,National rail,22
13/07/2020,National rail,23
14/07/2020,National rail,23
15/07/2020,National rail,24
16/07/2020,National rail,25
17/07/2020,National rail,25
18/07/2020,National rail,26
19/07/2020,National rail,26
20/07/2020,National rail,27
21/07/2020,National rail,27
22/07/2020,National rail,27
