Year,Government,Proportion
1999,Westminster,0.848
2000,Westminster,0.720
2001,Westminster,0.779
2002,Westminster,0.731
2003,Westminster,0.778
2004,Westminster,0.730
2005,Westminster,0.771
2006,Westminster,0.739
2007,Westminster,0.828
2008,Westminster,null
2009,Westminster,0.754
2010,Westminster,0.764
2011,Westminster,0.691
2012,Westminster,0.770
2013,Westminster,0.742
2014,Westminster,null
2015,Westminster,0.707
2016,Westminster,0.686
1999,Holyrood,0.978
2000,Holyrood,0.897
2001,Holyrood,0.952
2002,Holyrood,0.884
2003,Holyrood,0.953
2004,Holyrood,0.893
2005,Holyrood,0.922
2006,Holyrood,0.916
2007,Holyrood,0.968
2008,Holyrood,null
2009,Holyrood,0.939
2010,Holyrood,0.937
2011,Holyrood,0.943
2012,Holyrood,0.911
2013,Holyrood,0.910
2014,Holyrood,null
2015,Holyrood,0.953
2016,Holyrood,0.907
