value1,value2,region
0.3235908,0.1694967,ALB
0.4108761,-0.441433,AND
0.2856871,-0.2199734,ARG
0.4086149,-0.1936725,ARM
0.3168823,0.0487758,AUS
0.2978512,-0.320033,AUT
0.9002602,0.0407682,AZE
0.3150868,-1.091492,BEL
0.4907613,0.417236,BFA
0.8347048,0.8278322,BGD
0.2958725,0.1057051,BGR
0.3237098,0.253744,BIH
0.5644824,0.0560246,BLR
0.3870246,-0.4086734,BRA
0.4419134,-0.0473209,CAN
0.6484163,-0.218881,CHE
0.4937879,0.0788974,CHL
0.940276,0.6780223,CHN
0.5116068,0.2675945,CYP
0.2664486,0.2249638,CZE
0.3238153,-0.6575738,DEU
0.451714,0.3356147,DNK
0.1259446,0.4803036,DOM
0.5471835,-0.1908209,EGY
0.3241007,-0.3176458,ESP
0.4596992,0.0981999,EST
0.4520388,0.3926523,ETH
0.4568252,0.0707775,FIN
0.3240224,-0.5041765,FRA
0.2662871,0.0626838,GBR
0.4158675,0.0094261,GEO
0.6493168,0.6845497,GHA
0.2129208,-0.0381052,GTM
0.5524656,-0.2674143,HKG
0.2291105,-0.0115401,HRV
0.2765068,-0.406198,HUN
0.6764174,0.4057243,IDN
0.5155429,0.3229298,IND
0.3761658,-0.3713887,IRL
0.5620391,0.4072683,IRN
0.3296842,0.0265692,ISL
0.2573388,-0.5457141,ITA
0.6817376,0.1785798,JOR
0.315758,-0.568966,JPN
0.5010793,0.0612546,KGZ
0.4446473,0.2890093,KOR
0.3425926,-0.2466996,LTU
0.6767938,-0.5235414,LUX
0.2880456,-0.044916,LVA
0.5358083,-0.1232961,MAR
0.366321,-0.2490607,MDA
0.3386882,-0.0192349,MEX
0.2948577,0.1916123,MKD
0.7056738,0.270628,MLI
0.5274022,-0.0218832,MLT
0.3769575,-0.0602655,MNE
0.6664917,-0.2298019,MYS
0.3630312,0.0192614,NGA
0.416779,-0.0729799,NLD
0.5819274,0.3164019,NOR
0.3856,-0.226532,NZL
0.1993091,0.2018528,PER
0.6228741,0.0635256,PHL
0.248183,0.0920611,POL
0.3659689,0.2838838,PRI
0.3307087,-0.2745131,PRT
0.2219995,-0.08836,ROU
0.4778007,0.0233502,RUS
0.6352325,0.3776188,RWA
0.8045948,0.0651142,SGP
0.405297,0.3482701,SLV
0.3282537,-0.0341117,SRB
0.419719,-0.1023995,SVK
0.2643549,0.2324256,SVN
0.5177712,0.4115371,SWE
0.4893775,0.3514046,THA
0.3190501,-0.0518198,TTO
0.5448047,0.7145184,TUR
0.487687,0.4274694,TWN
0.8303411,0.607777,TZA
0.7748209,-0.5141745,UGA
0.2918369,-0.223367,UKR
0.5422869,-0.2679147,URY
0.3336031,0.0585079,USA
0.4139672,0.3080672,VEN
0.9699227,0.8936413,VNM
0.563161,-0.2904887,ZAF
0.422865,-0.5469031,ZMB
0.4962922,-0.2630457,ZWE
