year,value,value2,value3
1800,5.637,null,null
1801,5.6547,null,null
1802,5.6218,null,null
1803,5.6524,null,null
1804,5.6463,null,null
1805,5.6402,null,null
1806,5.6415,null,null
1807,5.6416,null,null
1808,5.6665,null,null
1809,5.6478,null,null
1810,5.6561,null,null
1811,5.6655,null,null
1812,5.6747,null,null
1813,5.6403,null,null
1814,5.6471,null,null
1815,5.6533,null,null
1816,5.6532,null,null
1817,5.6501,null,null
1818,5.6391,null,null
1819,5.65,null,null
1820,5.6529,null,null
1821,5.6491,null,null
1822,5.651,null,null
1823,5.6697,null,null
1824,5.6839,null,null
1825,5.6489,null,null
1826,5.6412,null,null
1827,5.6364,null,null
1828,5.6446,null,null
1829,5.6395,null,null
1830,5.6491,null,null
1831,5.6431,null,null
1832,5.6533,null,null
1833,5.6668,null,null
1834,5.6568,null,null
1835,5.6488,null,null
1836,5.645,null,null
1837,5.6492,null,null
1838,5.6522,null,null
1839,5.6539,null,null
1840,5.6469,null,null
1841,5.6453,null,null
1842,5.6529,null,null
1843,5.6377,null,null
1844,5.6605,null,null
1845,5.6481,null,null
1846,5.6485,null,null
1847,5.6492,null,null
1848,5.6597,null,null
1849,5.6482,null,null
1850,5.6551,null,null
1851,5.6558,null,null
1852,5.6544,null,null
1853,5.6559,null,null
1854,5.6606,null,null
1855,5.6561,null,null
1856,5.6501,null,null
1857,5.6493,null,null
1858,5.6458,null,null
1859,5.6498,null,null
1860,5.6552,null,null
1861,5.6577,null,null
1862,5.6624,null,null
1863,5.6569,null,null
1864,5.6523,null,null
1865,5.6635,null,null
1866,5.658,null,null
1867,5.6561,null,null
1868,5.6682,null,null
1869,5.6757,null,null
1870,5.6622,null,null
1871,5.6694,null,null
1872,5.6666,null,null
1873,5.6756,null,null
1874,5.6764,null,null
1875,5.6779,null,null
1876,5.6747,null,null
1877,5.6545,null,null
1878,5.6656,null,null
1879,5.6815,null,null
1880,5.6716,null,null
1881,5.672,null,null
1882,5.6761,null,null
1883,5.6847,null,null
1884,5.6769,null,null
1885,5.6746,null,null
1886,5.6612,null,null
1887,5.6767,null,null
1888,5.6777,null,null
1889,5.6694,null,null
1890,5.6672,null,null
1891,5.6609,null,null
1892,5.6656,null,null
1893,5.6642,null,null
1894,5.6568,null,null
1895,5.6686,null,null
1896,5.663,null,null
1897,5.6717,null,null
1898,5.6637,null,null
1899,5.6747,null,null
1900,5.6628,null,null
1901,5.6684,null,null
1902,5.6647,null,null
1903,5.6671,null,null
1904,5.6754,null,null
1905,5.666,null,null
1906,5.6707,null,null
1907,5.6588,null,null
1908,5.6578,null,null
1909,5.651,null,null
1910,5.6537,null,null
1911,5.6599,null,null
1912,5.6542,null,null
1913,5.6433,null,null
1914,5.6532,6,5.75
1915,5.6239,6,5.75
1916,5.6231,6,5.75
1917,5.6311,6,5.75
1918,5.623,6,5.75
1919,5.6217,null,null
1920,5.6227,null,null
1921,5.6261,null,null
1922,5.6484,null,null
1923,5.6618,null,null
1924,5.6667,null,null
1925,5.6689,null,null
1926,5.6647,null,null
1927,5.6679,null,null
1928,5.6593,null,null
1929,5.6609,null,null
1930,5.6631,null,null
1931,5.6617,null,null
1932,5.6709,null,null
1933,5.6649,null,null
1934,5.6475,null,null
1935,5.66,null,null
1936,5.6372,null,null
1937,5.6344,null,null
1938,5.6346,null,null
1939,5.6361,6,5.75
1940,5.6134,6,5.75
1941,5.6297,6,5.75
1942,5.6076,6,5.75
1943,5.6118,6,5.75
1944,5.6305,6,5.75
1945,5.6275,6,5.75
1946,5.6459,null,null
1947,5.6419,null,null
1948,5.6457,null,null
1949,5.6484,null,null
1950,5.6429,null,null
1951,5.6537,null,null
1952,5.6458,null,null
1953,5.6458,null,null
1954,5.6445,null,null
1955,5.637,null,null
1956,5.6441,null,null
1957,5.6287,null,null
1958,5.6355,null,null
1959,5.6377,null,null
1960,5.6279,null,null
1961,5.6259,null,null
1962,5.6211,null,null
1963,5.6204,null,null
1964,5.6177,null,null
1965,5.6114,null,null
1966,5.6145,null,null
1967,5.6187,null,null
1968,5.6101,null,null
1969,5.6091,null,null
1970,5.6196,null,null
1971,5.6045,null,null
1972,5.6038,null,null
1973,5.6047,null,null
1974,5.5957,null,null
1975,5.6,null,null
1976,5.5922,null,null
1977,5.5966,null,null
1978,5.5922,null,null
1979,5.592,null,null
1980,5.5963,null,null
1981,5.5919,null,null
1982,5.5892,null,null
1983,5.6017,null,null
1984,5.5975,null,null
1985,5.5943,null,null
1986,5.5963,null,null
1987,5.594,null,null
1988,5.6019,null,null
1989,5.5992,null,null
1990,5.6025,null,null
1991,5.6092,null,null
1992,5.6108,null,null
1993,5.61,null,null
1994,5.6136,null,null
1995,5.6128,null,null
1996,5.6197,null,null
1997,5.6131,null,null
1998,5.6169,null,null
1999,5.6179,null,null
2000,5.6164,null,null
2001,5.605,null,null
2002,5.6081,null,null
2003,5.6159,null,null
2004,5.6184,null,null
2005,5.6184,null,null
2006,5.6353,null,null
2007,5.6393,null,null
2008,5.6393,null,null
