Quarter,Export,Volume 
2016-01-01,Manufacturing,257
2016-04-01,Manufacturing,272
2016-07-01,Manufacturing,251
2016-10-01,Manufacturing,308
2017-01-01,Manufacturing,163
2017-04-01,Manufacturing,243
2017-07-01,Manufacturing,471
2017-10-01,Manufacturing,318
2018-01-01,Manufacturing,355
2018-04-01,Manufacturing,333
2018-07-01,Manufacturing,362
2018-10-01,Manufacturing,419
2019-01-01,Manufacturing,576
2019-04-01,Manufacturing,532
2019-07-01,Manufacturing,469
2019-10-01,Manufacturing,498
2020-01-01,Manufacturing,470
2020-04-01,Manufacturing,386
2020-07-01,Manufacturing,360
2016-01-01,Financial,5327
2016-04-01,Financial,5445
2016-07-01,Financial,5536
2016-10-01,Financial,5846
2017-01-01,Financial,6101
2017-04-01,Financial,6148
2017-07-01,Financial,6050
2017-10-01,Financial,6264
2018-01-01,Financial,6365
2018-04-01,Financial,6670
2018-07-01,Financial,6250
2018-10-01,Financial,6367
2019-01-01,Financial,6244
2019-04-01,Financial,6184
2019-07-01,Financial,6395
2019-10-01,Financial,6086
2020-01-01,Financial,6990
2020-04-01,Financial,6258
2020-07-01,Financial,5657
2016-01-01,Professional and management consulting services,3543
2016-04-01,Professional and management consulting services,3791
2016-07-01,Professional and management consulting services,3522
2016-10-01,Professional and management consulting services,4344
2017-01-01,Professional and management consulting services,4034
2017-04-01,Professional and management consulting services,4221
2017-07-01,Professional and management consulting services,4166
2017-10-01,Professional and management consulting services,4742
2018-01-01,Professional and management consulting services,4582
2018-04-01,Professional and management consulting services,5488
2018-07-01,Professional and management consulting services,4679
2018-10-01,Professional and management consulting services,5664
2019-01-01,Professional and management consulting services,4041
2019-04-01,Professional and management consulting services,4497
2019-07-01,Professional and management consulting services,4502
2019-10-01,Professional and management consulting services,5396
2020-01-01,Professional and management consulting services,4577
2020-04-01,Professional and management consulting services,4436
2020-07-01,Professional and management consulting services,4320
2016-01-01,"Personal, Cultural and Recreational",272
2016-04-01,"Personal, Cultural and Recreational",290
2016-07-01,"Personal, Cultural and Recreational",276
2016-10-01,"Personal, Cultural and Recreational",324
2017-01-01,"Personal, Cultural and Recreational",268
2017-04-01,"Personal, Cultural and Recreational",210
2017-07-01,"Personal, Cultural and Recreational",327
2017-10-01,"Personal, Cultural and Recreational",317
2018-01-01,"Personal, Cultural and Recreational",294
2018-04-01,"Personal, Cultural and Recreational",365
2018-07-01,"Personal, Cultural and Recreational",431
2018-10-01,"Personal, Cultural and Recreational",439
2019-01-01,"Personal, Cultural and Recreational",407
2019-04-01,"Personal, Cultural and Recreational",417
2019-07-01,"Personal, Cultural and Recreational",435
2019-10-01,"Personal, Cultural and Recreational",587
2020-01-01,"Personal, Cultural and Recreational",334
2020-04-01,"Personal, Cultural and Recreational",256
2020-07-01,"Personal, Cultural and Recreational",301
2016-01-01,"Legal, accounting, management consulting and public relations",2609
2016-04-01,"Legal, accounting, management consulting and public relations",2808
2016-07-01,"Legal, accounting, management consulting and public relations",2617
2016-10-01,"Legal, accounting, management consulting and public relations",3233
2017-01-01,"Legal, accounting, management consulting and public relations",2916
2017-04-01,"Legal, accounting, management consulting and public relations",2998
2017-07-01,"Legal, accounting, management consulting and public relations",3000
2017-10-01,"Legal, accounting, management consulting and public relations",3328
2018-01-01,"Legal, accounting, management consulting and public relations",3324
2018-04-01,"Legal, accounting, management consulting and public relations",4129
2018-07-01,"Legal, accounting, management consulting and public relations",3262
2018-10-01,"Legal, accounting, management consulting and public relations",3854
2019-01-01,"Legal, accounting, management consulting and public relations",2729
2019-04-01,"Legal, accounting, management consulting and public relations",3010
2019-07-01,"Legal, accounting, management consulting and public relations",2985
2019-10-01,"Legal, accounting, management consulting and public relations",3596
2020-01-01,"Legal, accounting, management consulting and public relations",3250
2020-04-01,"Legal, accounting, management consulting and public relations",3196
2020-07-01,"Legal, accounting, management consulting and public relations",3118
