Import,Quarter,Volume
Manufacturing,01/01/2016,83
Manufacturing,01/04/2016,83
Manufacturing,01/07/2016,100
Manufacturing,01/10/2016,104
Manufacturing,01/01/2017,130
Manufacturing,01/04/2017,107
Manufacturing,01/07/2017,114
Manufacturing,01/10/2017,185
Manufacturing,01/01/2018,203
Manufacturing,01/04/2018,162
Manufacturing,01/07/2018,223
Manufacturing,01/10/2018,445
Manufacturing,01/01/2019,224
Manufacturing,01/04/2019,230
Manufacturing,01/07/2019,257
Manufacturing,01/10/2019,242
Manufacturing,01/01/2020,224
Manufacturing,01/04/2020,216
Manufacturing,01/07/2020,200
Financial,01/01/2016,1091
Financial,01/04/2016,1164
Financial,01/07/2016,1200
Financial,01/10/2016,1210
Financial,01/01/2017,1011
Financial,01/04/2017,1138
Financial,01/07/2017,1254
Financial,01/10/2017,1224
Financial,01/01/2018,1165
Financial,01/04/2018,1430
Financial,01/07/2018,1327
Financial,01/10/2018,1473
Financial,01/01/2019,1612
Financial,01/04/2019,1375
Financial,01/07/2019,1646
Financial,01/10/2019,1381
Financial,01/01/2020,1428
Financial,01/04/2020,1292
Financial,01/07/2020,1132
Professional and management consulting services,01/01/2016,1559
Professional and management consulting services,01/04/2016,1469
Professional and management consulting services,01/07/2016,1741
Professional and management consulting services,01/10/2016,1806
Professional and management consulting services,01/01/2017,1935
Professional and management consulting services,01/04/2017,1907
Professional and management consulting services,01/07/2017,1869
Professional and management consulting services,01/10/2017,1926
Professional and management consulting services,01/01/2018,2057
Professional and management consulting services,01/04/2018,2487
Professional and management consulting services,01/07/2018,2306
Professional and management consulting services,01/10/2018,2777
Professional and management consulting services,01/01/2019,2271
Professional and management consulting services,01/04/2019,2596
Professional and management consulting services,01/07/2019,2486
Professional and management consulting services,01/10/2019,2858
Professional and management consulting services,01/01/2020,2385
Professional and management consulting services,01/04/2020,2309
Professional and management consulting services,01/07/2020,2057
"Personal, Cultural and Recreational",01/01/2016,108
"Personal, Cultural and Recreational",01/04/2016,105
"Personal, Cultural and Recreational",01/07/2016,127
"Personal, Cultural and Recreational",01/10/2016,132
"Personal, Cultural and Recreational",01/01/2017,112
"Personal, Cultural and Recreational",01/04/2017,113
"Personal, Cultural and Recreational",01/07/2017,119
"Personal, Cultural and Recreational",01/10/2017,135
"Personal, Cultural and Recreational",01/01/2018,118
"Personal, Cultural and Recreational",01/04/2018,105
"Personal, Cultural and Recreational",01/07/2018,130
"Personal, Cultural and Recreational",01/10/2018,96
"Personal, Cultural and Recreational",01/01/2019,122
"Personal, Cultural and Recreational",01/04/2019,140
"Personal, Cultural and Recreational",01/07/2019,175
"Personal, Cultural and Recreational",01/10/2019,145
"Personal, Cultural and Recreational",01/01/2020,101
"Personal, Cultural and Recreational",01/04/2020,65
"Personal, Cultural and Recreational",01/07/2020,78
"Legal, accounting, management consulting and public relations",01/01/2016,1102
"Legal, accounting, management consulting and public relations",01/04/2016,1019
"Legal, accounting, management consulting and public relations",01/07/2016,1196
"Legal, accounting, management consulting and public relations",01/10/2016,1234
"Legal, accounting, management consulting and public relations",01/01/2017,1298
"Legal, accounting, management consulting and public relations",01/04/2017,1303
"Legal, accounting, management consulting and public relations",01/07/2017,1405
"Legal, accounting, management consulting and public relations",01/10/2017,1469
"Legal, accounting, management consulting and public relations",01/01/2018,1482
"Legal, accounting, management consulting and public relations",01/04/2018,1702
"Legal, accounting, management consulting and public relations",01/07/2018,1609
"Legal, accounting, management consulting and public relations",01/10/2018,1958
"Legal, accounting, management consulting and public relations",01/01/2019,1368
"Legal, accounting, management consulting and public relations",01/04/2019,1501
"Legal, accounting, management consulting and public relations",01/07/2019,1494
"Legal, accounting, management consulting and public relations",01/10/2019,1672
"Legal, accounting, management consulting and public relations",01/01/2020,1500
"Legal, accounting, management consulting and public relations",01/04/2020,1604
"Legal, accounting, management consulting and public relations",01/07/2020,1300
