Quarter,Import,Volume
2016-01-01,Manufacturing,83
2016-04-01,Manufacturing,83
2016-07-01,Manufacturing,100
2016-10-01,Manufacturing,104
2017-01-01,Manufacturing,130
2017-04-01,Manufacturing,107
2017-07-01,Manufacturing,114
2017-10-01,Manufacturing,185
2018-01-01,Manufacturing,203
2018-04-01,Manufacturing,162
2018-07-01,Manufacturing,223
2018-10-01,Manufacturing,445
2019-01-01,Manufacturing,224
2019-04-01,Manufacturing,230
2019-07-01,Manufacturing,257
2019-10-01,Manufacturing,242
2020-01-01,Manufacturing,224
2020-04-01,Manufacturing,216
2020-07-01,Manufacturing,200
2016-01-01,Financial,1091
2016-04-01,Financial,1164
2016-07-01,Financial,1200
2016-10-01,Financial,1210
2017-01-01,Financial,1011
2017-04-01,Financial,1138
2017-07-01,Financial,1254
2017-10-01,Financial,1224
2018-01-01,Financial,1165
2018-04-01,Financial,1430
2018-07-01,Financial,1327
2018-10-01,Financial,1473
2019-01-01,Financial,1612
2019-04-01,Financial,1375
2019-07-01,Financial,1646
2019-10-01,Financial,1381
2020-01-01,Financial,1428
2020-04-01,Financial,1292
2020-07-01,Financial,1132
2016-01-01,Professional and management consulting services,1559
2016-04-01,Professional and management consulting services,1469
2016-07-01,Professional and management consulting services,1741
2016-10-01,Professional and management consulting services,1806
2017-01-01,Professional and management consulting services,1935
2017-04-01,Professional and management consulting services,1907
2017-07-01,Professional and management consulting services,1869
2017-10-01,Professional and management consulting services,1926
2018-01-01,Professional and management consulting services,2057
2018-04-01,Professional and management consulting services,2487
2018-07-01,Professional and management consulting services,2306
2018-10-01,Professional and management consulting services,2777
2019-01-01,Professional and management consulting services,2271
2019-04-01,Professional and management consulting services,2596
2019-07-01,Professional and management consulting services,2486
2019-10-01,Professional and management consulting services,2858
2020-01-01,Professional and management consulting services,2385
2020-04-01,Professional and management consulting services,2309
2020-07-01,Professional and management consulting services,2057
2016-01-01,"Personal, Cultural and Recreational",108
2016-04-01,"Personal, Cultural and Recreational",105
2016-07-01,"Personal, Cultural and Recreational",127
2016-10-01,"Personal, Cultural and Recreational",132
2017-01-01,"Personal, Cultural and Recreational",112
2017-04-01,"Personal, Cultural and Recreational",113
2017-07-01,"Personal, Cultural and Recreational",119
2017-10-01,"Personal, Cultural and Recreational",135
2018-01-01,"Personal, Cultural and Recreational",118
2018-04-01,"Personal, Cultural and Recreational",105
2018-07-01,"Personal, Cultural and Recreational",130
2018-10-01,"Personal, Cultural and Recreational",96
2019-01-01,"Personal, Cultural and Recreational",122
2019-04-01,"Personal, Cultural and Recreational",140
2019-07-01,"Personal, Cultural and Recreational",175
2019-10-01,"Personal, Cultural and Recreational",145
2020-01-01,"Personal, Cultural and Recreational",101
2020-04-01,"Personal, Cultural and Recreational",65
2020-07-01,"Personal, Cultural and Recreational",78
2016-01-01,"Legal, accounting, management consulting and public relations",1102
2016-04-01,"Legal, accounting, management consulting and public relations",1019
2016-07-01,"Legal, accounting, management consulting and public relations",1196
2016-10-01,"Legal, accounting, management consulting and public relations",1234
2017-01-01,"Legal, accounting, management consulting and public relations",1298
2017-04-01,"Legal, accounting, management consulting and public relations",1303
2017-07-01,"Legal, accounting, management consulting and public relations",1405
2017-10-01,"Legal, accounting, management consulting and public relations",1469
2018-01-01,"Legal, accounting, management consulting and public relations",1482
2018-04-01,"Legal, accounting, management consulting and public relations",1702
2018-07-01,"Legal, accounting, management consulting and public relations",1609
2018-10-01,"Legal, accounting, management consulting and public relations",1958
2019-01-01,"Legal, accounting, management consulting and public relations",1368
2019-04-01,"Legal, accounting, management consulting and public relations",1501
2019-07-01,"Legal, accounting, management consulting and public relations",1494
2019-10-01,"Legal, accounting, management consulting and public relations",1672
2020-01-01,"Legal, accounting, management consulting and public relations",1500
2020-04-01,"Legal, accounting, management consulting and public relations",1604
2020-07-01,"Legal, accounting, management consulting and public relations",1300
