Year,Youth unemployment rate
1992 Q2,16.2
1992 Q3,16.7
1992 Q4,17.3
1993 Q1,18.1
1993 Q2,18
1993 Q3,17.6
1993 Q4,17.9
1994 Q1,17
1994 Q2,16.9
1994 Q3,16.9
1994 Q4,16.1
1995 Q1,16.2
1995 Q2,15.9
1995 Q3,15.5
1995 Q4,15.1
1996 Q1,15.3
1996 Q2,15.4
1996 Q3,15.4
1996 Q4,15.4
1997 Q1,14.6
1997 Q2,14.5
1997 Q3,14
1997 Q4,13.4
1998 Q1,13.4
1998 Q2,13.5
1998 Q3,13.5
1998 Q4,13.6
1999 Q1,13.4
1999 Q2,13.2
1999 Q3,12.6
1999 Q4,12.5
2000 Q1,12.9
2000 Q2,12.3
2000 Q3,12.1
2000 Q4,12.3
2001 Q1,12
2001 Q2,11.7
2001 Q3,11.9
2001 Q4,12.4
2002 Q1,12.3
2002 Q2,11.9
2002 Q3,12.2
2002 Q4,12.3
2003 Q1,12.8
2003 Q2,12.4
2003 Q3,12.4
2003 Q4,11.8
2004 Q1,12.1
2004 Q2,12.1
2004 Q3,12.4
2004 Q4,12.5
2005 Q1,12.3
2005 Q2,12.8
2005 Q3,12.7
2005 Q4,13.9
2006 Q1,13.6
2006 Q2,14.3
2006 Q3,14.3
2006 Q4,14.1
2007 Q1,14.5
2007 Q2,14.7
2007 Q3,14.5
2007 Q4,13.9
2008 Q1,14
2008 Q2,14.6
2008 Q3,15.5
2008 Q4,16.5
2009 Q1,18.1
2009 Q2,19.4
2009 Q3,20
2009 Q4,19.5
2010 Q1,20.3
2010 Q2,19.9
2010 Q3,19.3
2010 Q4,20.6
2011 Q1,20.3
2011 Q2,20.6
2011 Q3,22.3
2011 Q4,22.3
2012 Q1,21.9
2012 Q2,21.5
2012 Q3,21
2012 Q4,21
2013 Q1,20.8
2013 Q2,21.4
2013 Q3,21.2
2013 Q4,20.1
2014 Q1,18.9
2014 Q2,16.7
2014 Q3,16.4
2014 Q4,16.4
2015 Q1,15.9
2015 Q2,15.7
2015 Q3,14.2
2015 Q4,13.6
2016 Q1,13.7
2016 Q2,13.6
2016 Q3,13.3
2016 Q4,12.5
2017 Q1,12.4
2017 Q2,12.3
2017 Q3,12
2017 Q4,12.4
2018 Q1,12
2018 Q2,11.3
2018 Q3,11.2
2018 Q4,11.8
2019 Q1,10.8
2019 Q2,11.6
2019 Q3,11.9
2019 Q4,11.3
2020 Q1,12.1
2020 Q2,12.9
2020 Q3,14.6
2020 Q4,14.4
