Export,Quarter,Volume 
Total Services,2016-01-01,22705
Total Services,2016-04-01,25781
Total Services,2016-07-01,26839
Total Services,2016-10-01,27986
Total Services,2017-01-01,25578
Total Services,2017-04-01,28525
Total Services,2017-07-01,30710
Total Services,2017-10-01,29554
Total Services,2018-01-01,29038
Total Services,2018-04-01,31867
Total Services,2018-07-01,31553
Total Services,2018-10-01,32829
Total Services,2019-01-01,26694
Total Services,2019-04-01,29373
Total Services,2019-07-01,31868
Total Services,2019-10-01,32687
Total Services,2020-01-01,26982
Total Services,2020-04-01,24935
Total Services,2020-07-01,24602
Manufacturing,2016-01-01,257
Manufacturing,2016-04-01,272
Manufacturing,2016-07-01,251
Manufacturing,2016-10-01,308
Manufacturing,2017-01-01,163
Manufacturing,2017-04-01,243
Manufacturing,2017-07-01,471
Manufacturing,2017-10-01,318
Manufacturing,2018-01-01,355
Manufacturing,2018-04-01,333
Manufacturing,2018-07-01,362
Manufacturing,2018-10-01,419
Manufacturing,2019-01-01,576
Manufacturing,2019-04-01,532
Manufacturing,2019-07-01,469
Manufacturing,2019-10-01,498
Manufacturing,2020-01-01,470
Manufacturing,2020-04-01,386
Manufacturing,2020-07-01,360
Travel,2016-01-01,2728
Travel,2016-04-01,4242
Travel,2016-07-01,5438
Travel,2016-10-01,4103
Travel,2017-01-01,3023
Travel,2017-04-01,4415
Travel,2017-07-01,5396
Travel,2017-10-01,3594
Travel,2018-01-01,3372
Travel,2018-04-01,4528
Travel,2018-07-01,5431
Travel,2018-10-01,4147
Travel,2019-01-01,2843
Travel,2019-04-01,4475
Travel,2019-07-01,5777
Travel,2019-10-01,4951
Travel,2020-01-01,2329
Travel,2020-04-01,1289
Travel,2020-07-01,1582
Financial,2016-01-01,5327
Financial,2016-04-01,5445
Financial,2016-07-01,5536
Financial,2016-10-01,5846
Financial,2017-01-01,6101
Financial,2017-04-01,6148
Financial,2017-07-01,6050
Financial,2017-10-01,6264
Financial,2018-01-01,6365
Financial,2018-04-01,6670
Financial,2018-07-01,6250
Financial,2018-10-01,6367
Financial,2019-01-01,6244
Financial,2019-04-01,6184
Financial,2019-07-01,6395
Financial,2019-10-01,6086
Financial,2020-01-01,6990
Financial,2020-04-01,6258
Financial,2020-07-01,5657
Professional and management consulting services,2016-01-01,3543
Professional and management consulting services,2016-04-01,3791
Professional and management consulting services,2016-07-01,3522
Professional and management consulting services,2016-10-01,4344
Professional and management consulting services,2017-01-01,4034
Professional and management consulting services,2017-04-01,4221
Professional and management consulting services,2017-07-01,4166
Professional and management consulting services,2017-10-01,4742
Professional and management consulting services,2018-01-01,4582
Professional and management consulting services,2018-04-01,5488
Professional and management consulting services,2018-07-01,4679
Professional and management consulting services,2018-10-01,5664
Professional and management consulting services,2019-01-01,4041
Professional and management consulting services,2019-04-01,4497
Professional and management consulting services,2019-07-01,4502
Professional and management consulting services,2019-10-01,5396
Professional and management consulting services,2020-01-01,4577
Professional and management consulting services,2020-04-01,4436
Professional and management consulting services,2020-07-01,4320
"Personal, Cultural and Recreational",2016-01-01,272
"Personal, Cultural and Recreational",2016-04-01,290
"Personal, Cultural and Recreational",2016-07-01,276
"Personal, Cultural and Recreational",2016-10-01,324
"Personal, Cultural and Recreational",2017-01-01,268
"Personal, Cultural and Recreational",2017-04-01,210
"Personal, Cultural and Recreational",2017-07-01,327
"Personal, Cultural and Recreational",2017-10-01,317
"Personal, Cultural and Recreational",2018-01-01,294
"Personal, Cultural and Recreational",2018-04-01,365
"Personal, Cultural and Recreational",2018-07-01,431
"Personal, Cultural and Recreational",2018-10-01,439
"Personal, Cultural and Recreational",2019-01-01,407
"Personal, Cultural and Recreational",2019-04-01,417
"Personal, Cultural and Recreational",2019-07-01,435
"Personal, Cultural and Recreational",2019-10-01,587
"Personal, Cultural and Recreational",2020-01-01,334
"Personal, Cultural and Recreational",2020-04-01,256
"Personal, Cultural and Recreational",2020-07-01,301
"Legal, accounting, management consulting and public relations",2016-01-01,2609
"Legal, accounting, management consulting and public relations",2016-04-01,2808
"Legal, accounting, management consulting and public relations",2016-07-01,2617
"Legal, accounting, management consulting and public relations",2016-10-01,3233
"Legal, accounting, management consulting and public relations",2017-01-01,2916
"Legal, accounting, management consulting and public relations",2017-04-01,2998
"Legal, accounting, management consulting and public relations",2017-07-01,3000
"Legal, accounting, management consulting and public relations",2017-10-01,3328
"Legal, accounting, management consulting and public relations",2018-01-01,3324
"Legal, accounting, management consulting and public relations",2018-04-01,4129
"Legal, accounting, management consulting and public relations",2018-07-01,3262
"Legal, accounting, management consulting and public relations",2018-10-01,3854
"Legal, accounting, management consulting and public relations",2019-01-01,2729
"Legal, accounting, management consulting and public relations",2019-04-01,3010
"Legal, accounting, management consulting and public relations",2019-07-01,2985
"Legal, accounting, management consulting and public relations",2019-10-01,3596
"Legal, accounting, management consulting and public relations",2020-01-01,3250
"Legal, accounting, management consulting and public relations",2020-04-01,3196
"Legal, accounting, management consulting and public relations",2020-07-01,3118
