Year,Unemployment rate
1870,3.95
1871,3.05
1872,2.30
1873,2.43
1874,2.82
1875,3.17
1876,3.73
1877,4.63
1878,5.79
1879,7.26
1880,5.27
1881,4.64
1882,4.19
1883,4.06
1884,4.99
1885,6.15
1886,6.34
1887,5.76
1888,4.78
1889,3.53
1890,3.15
1891,3.49
1892,4.51
1893,5.63
1894,5.53
1895,5.42
1896,4.57
1897,4.62
1898,4.07
1899,3.68
1900,3.66
1901,4.37
1902,4.79
1903,5.07
1904,6.35
1905,6.11
1906,5.08
1907,4.73
1908,6.99
1909,7.27
1910,5.52
1911,4.52
1912,4.22
1913,3.76
1914,nul
1915,nul
1916,nul
1917,nul
1918,nul
1919,nul
1920,2.10
1921,12.23
1922,10.75
1923,8.89
1924,7.92
1925,8.62
1926,9.62
1927,7.45
1928,8.23
1929,7.95
1930,12.27
1931,16.42
1932,16.96
1933,15.35
1934,12.94
1935,11.99
1936,10.19
1937,8.47
1938,10.11
1939,8.46
1940,nul
1941,nul
1942,nul
1943,nul
1944,nul
1945,nul
1946,1.98
1947,1.39
1948,1.63
1949,1.63
1950,1.69
1951,1.33
1952,2.18
1953,1.78
1954,1.47
1955,1.21
1956,1.29
1957,1.55
1958,2.25
1959,2.28
1960,1.72
1961,1.63
1962,2.13
1963,2.60
1964,1.74
1965,1.50
1966,1.62
1967,2.52
1968,2.54
1969,2.46
1970,2.62
1971,3.40
1972,3.73
1973,2.60
1974,2.58
1975,4.07
1976,5.60
1977,5.73
1978,5.60
1979,5.40
1980,6.90
1981,9.80
1982,10.90
1983,11.60
1984,11.90
1985,11.40
1986,11.40
1987,10.50
1988,8.60
1989,7.20
1990,7.20
1991,8.90
1992,10.10
1993,10.50
1994,9.60
1995,8.70
1996,8.20
1997,7.00
1998,6.30
1999,6.00
2000,5.60
2001,5.10
2002,5.20
2003,5.10
2004,4.80
2005,4.90
2006,5.50
2007,5.40
2008,5.80
2009,7.80
2010,8.00
2011,8.30
2012,8.10
2013,7.80
2014,6.30
2015,5.50
2016,5.10
2017,4.50
2018,4.20
2019,3.90
2020,4.60
