Country,Date,Vaccinated
Afghanistan,2021-02-22,0
Afghanistan,2021-02-28,0.02
Afghanistan,2021-03-16,0.14
Afghanistan,2021-04-07,0.31
Afghanistan,2021-04-22,0.62
Afghanistan,2021-05-11,1.15
India,2021-01-15,0
India,2021-01-16,0.01
India,2021-01-17,0.02
India,2021-01-18,0.03
India,2021-01-19,0.05
India,2021-01-20,0.06
India,2021-01-21,0.08
India,2021-01-22,0.1
India,2021-01-23,0.11
India,2021-01-24,0.12
India,2021-01-25,0.15
India,2021-01-26,0.15
India,2021-01-27,0.17
India,2021-01-28,0.21
India,2021-01-29,0.25
India,2021-01-30,0.27
India,2021-01-31,0.27
India,2021-02-01,0.29
India,2021-02-02,0.3
India,2021-02-03,0.32
India,2021-02-04,0.36
India,2021-02-05,0.39
India,2021-02-06,0.42
India,2021-02-07,0.42
India,2021-02-08,0.45
India,2021-02-09,0.48
India,2021-02-10,0.51
India,2021-02-11,0.54
India,2021-02-12,0.58
India,2021-02-13,0.58
India,2021-02-15,0.61
India,2021-02-16,0.63
India,2021-02-17,0.64
India,2021-02-18,0.68
India,2021-02-19,0.7
India,2021-02-20,0.72
India,2021-02-21,0.73
India,2021-02-22,0.75
India,2021-02-23,0.77
India,2021-02-24,0.79
India,2021-02-25,0.81
India,2021-02-26,0.84
India,2021-02-27,0.85
India,2021-02-28,0.86
India,2021-03-01,0.89
India,2021-03-02,0.94
India,2021-03-03,1
India,2021-03-04,1.07
India,2021-03-05,1.16
India,2021-03-06,1.24
India,2021-03-07,1.25
India,2021-03-08,1.37
India,2021-03-09,1.45
India,2021-03-10,1.52
India,2021-03-11,1.55
India,2021-03-12,1.67
India,2021-03-13,1.76
India,2021-03-14,1.77
India,2021-03-15,1.96
India,2021-03-16,2.09
India,2021-03-17,2.22
India,2021-03-18,2.35
India,2021-03-19,2.52
India,2021-03-20,2.69
India,2021-03-21,2.72
India,2021-03-22,2.94
India,2021-03-23,3.1
India,2021-03-24,3.25
India,2021-03-25,3.41
India,2021-03-26,3.58
India,2021-03-27,3.73
India,2021-03-28,3.74
India,2021-03-29,3.78
India,2021-03-30,3.91
India,2021-03-31,4.04
India,2021-04-01,4.29
India,2021-04-02,4.57
India,2021-04-03,4.76
India,2021-04-04,4.98
India,2021-04-05,5.24
India,2021-04-06,5.5
India,2021-04-07,5.71
India,2021-04-08,5.98
India,2021-04-09,6.21
India,2021-04-10,6.44
India,2021-04-11,6.64
India,2021-04-12,6.89
India,2021-04-13,7.05
India,2021-04-14,7.26
India,2021-04-15,7.42
India,2021-04-16,7.57
India,2021-04-17,7.71
India,2021-04-18,7.78
India,2021-04-19,7.95
India,2021-04-21,8.09
India,2021-04-22,8.23
India,2021-04-25,8.54
India,2021-04-26,8.69
India,2021-04-27,8.79
India,2021-04-28,8.88
India,2021-04-29,8.97
India,2021-04-30,9.09
India,2021-05-01,9.15
India,2021-05-02,9.18
India,2021-05-03,9.25
India,2021-05-04,9.32
India,2021-05-05,9.4
India,2021-05-06,9.5
India,2021-05-07,9.59
