Time period,Income bracket (monthly),% share
Apr-20,< £1000,64.90631836
Aug-20,< £1000,46.21629042
Jan-21,< £1000,56.33793785
Apr-20,£1000 - £1999,12.22243807
Aug-20,£1000 - £1999,21.41778876
Jan-21,£1000 - £1999,18.1218842
Apr-20,£2000 - £2999,7.400756615
Aug-20,£2000 - £2999,12.56281094
Jan-21,£2000 - £2999,9.898468549
Apr-20,£3000 - £3999,4.232389339
Aug-20,£3000 - £3999,6.818854363
Jan-21,£3000 - £3999,4.01689862
Apr-20,£4000 - £4999,3.149153392
Aug-20,£4000 - £4999,4.690568894
Jan-21,£4000 - £4999,4.72127271
Apr-20,£5000 - £5999,2.246836738
Aug-20,£5000 - £5999,4.690568894
Jan-21,£5000 - £5999,1.827733553
Apr-20,£6000 +,5.842107682
Aug-20,£6000 +,6.58803559
Jan-21,£6000 +,5.075808057
