Quarter,Number of workers (millions)
2000-01-01,3.274475
2000-04-01,3.240634
2000-07-01,3.267485
2000-10-01,3.2379
2001-01-01,3.275144
2001-04-01,3.265192
2001-07-01,3.327122
2001-10-01,3.31633
2002-01-01,3.310411
2002-04-01,3.321195
2002-07-01,3.371532
2002-10-01,3.356863
2003-01-01,3.418744
2003-04-01,3.539445
2003-07-01,3.664018
2003-10-01,3.657
2004-01-01,3.610196
2004-04-01,3.652788
2004-07-01,3.597671
2004-10-01,3.638093
2005-01-01,3.60438
2005-04-01,3.598541
2005-07-01,3.673273
2005-10-01,3.701371
2006-01-01,3.725347
2006-04-01,3.690571
2006-07-01,3.773656
2006-10-01,3.808718
2007-01-01,3.827113
2007-04-01,3.778965
2007-07-01,3.830116
2007-10-01,3.852262
2008-01-01,3.886568
2008-04-01,3.829258
2008-07-01,3.81613
2008-10-01,3.845515
2009-01-01,3.855483
2009-04-01,3.813633
2009-07-01,3.879645
2009-10-01,3.930148
2010-01-01,3.961423
2010-04-01,3.921789
2010-07-01,4.044008
2010-10-01,4.023011
2011-01-01,3.991645
2011-04-01,3.984511
2011-07-01,4.120043
2011-10-01,4.128023
2012-01-01,4.192566
2012-04-01,4.211614
2012-07-01,4.23856
2012-10-01,4.269908
2013-01-01,4.196946
2013-04-01,4.196008
2013-07-01,4.245513
2013-10-01,4.432496
2014-01-01,4.585527
2014-04-01,4.608737
2014-07-01,4.52846
2014-10-01,4.521315
2015-01-01,4.532464
2015-04-01,4.526828
2015-07-01,4.573065
2015-10-01,4.685986
2016-01-01,4.716406
2016-04-01,4.79661
2016-07-01,4.781527
2016-10-01,4.808805
2017-01-01,4.79721
2017-04-01,4.819854
2017-07-01,4.805648
2017-10-01,4.787163
2018-01-01,4.747887
2018-04-01,4.779921
2018-07-01,4.7527
2018-10-01,4.84406
2019-01-01,4.924223
2019-04-01,4.97457
2019-07-01,4.949934
2019-10-01,5.026384
2020-01-01,4.975871
2020-04-01,4.683726
2020-07-01,4.50875
