date,US,UK,value
1983,1000,1000,0.00
1984,1000,990.9969214,9.00
1985,1000,978.9928166,21.01
1986,1000,978.9928166,21.01
1987,1000,968.8139927,31.19
1988,1000,960.8581581,39.14
1989,1000,960.8581581,39.14
1990,1005.941784,959.018087,46.92
1991,1045.784215,957.5460301,88.24
1992,1087.937613,957.5460301,130.39
1993,1079.627694,957.5460301,122.08
1994,1091.911244,957.5460301,134.37
1995,1095.942789,966.5065227,129.44
1996,1138.411658,967.4912671,170.92
1997,1153.127182,962.8622997,190.26
1998,1157.150556,962.5316592,194.62
1999,1182.528542,962.5316592,220.00
2000,1213.507231,962.5316592,250.98
2001,1228.143618,958.652099,269.49
2002,1229.682789,950.3214134,279.36
2003,1246.751372,947.9292354,298.82
2004,1256.112204,949.7396988,306.37
2005,1275.40802,971.4186208,303.99
2006,1275.083513,986.5426763,288.54
2007,1283.157361,991.2225281,291.93
2008,1319.873808,989.0929338,330.78
2009,1336.704063,990.3494757,346.35
2010,1364.655255,1022.603339,342.05
2011,1350.188132,1029.829864,320.36
2012,1347.691501,1010.740652,336.95
2013,1375.276963,1009.773123,365.50
2014,1350.976305,989.2257797,361.75
2015,1344.097538,1031.215534,312.88
2016,1374.01442,1066.866948,307.15
2017,1361.29804,1100.226058,261.07
2018,1370.8016,1123.679892,247.12
2019,1383.23558,1146.538811,236.70
2020,1409.244795,1132.287961,276.96
2021,1412.472538,1120.466597,292.01
2022,1387.819261,1211.226323,176.59
2023,1376.05248,1277.871904,98.18
