Age,Education level,Average wage
22,GCSE or lower,8.738811842
22,A-Levels or other higher,8.96498997
22,Degree,9.499423469
23,GCSE or lower,8.905675574
23,A-Levels or other higher,9.531507705
23,Degree,10.65095926
24,GCSE or lower,9.070399133
24,A-Levels or other higher,10.22353332
24,Degree,11.78489429
25,GCSE or lower,9.453811045
25,A-Levels or other higher,10.70802908
25,Degree,12.46606701
26,GCSE or lower,9.465391855
26,A-Levels or other higher,11.18398212
26,Degree,13.25540475
27,GCSE or lower,9.911263003
27,A-Levels or other higher,11.70426278
27,Degree,14.59775359
28,GCSE or lower,10.14734835
28,A-Levels or other higher,11.93005054
28,Degree,15.05678071
29,GCSE or lower,10.29257909
29,A-Levels or other higher,12.52658645
29,Degree,15.71159261
30,GCSE or lower,10.32210597
30,A-Levels or other higher,12.93811638
30,Degree,16.15252684
31,GCSE or lower,10.59145261
31,A-Levels or other higher,13.01393441
31,Degree,17.20792189
32,GCSE or lower,10.82315936
32,A-Levels or other higher,13.26594838
32,Degree,17.61724475
33,GCSE or lower,10.89833042
33,Degree,18.23680441
34,A-Levels or other higher,13.42250367
35,GCSE or lower,10.86398386
35,Degree,19.02242379
36,A-Levels or other higher,13.84487108
36,Degree,19.86028129
37,GCSE or lower,11.2314431
37,A-Levels or other higher,14.05400459
37,Degree,20.42853001
38,GCSE or lower,11.22497526
38,A-Levels or other higher,14.46627946
38,Degree,20.59514159
39,GCSE or lower,11.17214175
39,A-Levels or other higher,14.28933755
39,Degree,20.33936854
40,GCSE or lower,11.32733511
40,A-Levels or other higher,14.3030942
40,Degree,20.46806269
41,GCSE or lower,11.3814907
41,A-Levels or other higher,14.39539863
41,Degree,21.07542241
42,GCSE or lower,11.36994158
42,A-Levels or other higher,14.52759897
42,Degree,20.87227596
43,GCSE or lower,11.41524189
43,A-Levels or other higher,14.55760007
43,Degree,21.22569538
44,GCSE or lower,11.35063895
44,A-Levels or other higher,14.78218004
44,Degree,21.34518676
45,GCSE or lower,11.37536822
45,A-Levels or other higher,14.51789202
45,Degree,22.05762858
46,GCSE or lower,11.2830095
46,A-Levels or other higher,14.53023688
46,Degree,21.74794026
47,GCSE or lower,10.94489041
47,A-Levels or other higher,14.80288986
47,Degree,21.35915907
48,GCSE or lower,11.18008771
48,A-Levels or other higher,14.74476861
48,Degree,21.45730742
49,GCSE or lower,11.091134
49,A-Levels or other higher,14.81531266
49,Degree,21.2638246
50,GCSE or lower,11.27640384
50,A-Levels or other higher,14.75962283
50,Degree,21.24750686
51,GCSE or lower,10.96144332
51,A-Levels or other higher,14.46652788
51,Degree,20.67567764
52,GCSE or lower,11.13073669
52,A-Levels or other higher,14.59489837
52,Degree,21.3503987
53,GCSE or lower,11.16564029
53,A-Levels or other higher,14.30871441
53,Degree,20.73002298
54,GCSE or lower,11.09724094
54,A-Levels or other higher,14.6582881
54,Degree,20.56911682
55,GCSE or lower,11.02921229
55,A-Levels or other higher,14.53865406
55,Degree,20.91866078
56,GCSE or lower,10.91527463
56,A-Levels or other higher,14.4971313
56,Degree,20.3674002
57,GCSE or lower,10.89418985
57,A-Levels or other higher,14.54821554
57,Degree,21.03884366
58,GCSE or lower,10.68108015
58,A-Levels or other higher,14.75911451
58,Degree,21.11538077
59,GCSE or lower,10.59700233
59,A-Levels or other higher,14.40747485
59,Degree,20.88300613
