Year,Ethnic group,Gap
1999,Indian,-2.674256588
1999,Pakistani,-10.67426191
1999,Bangladeshi,-11.84358075
1999,Chinese,-9.703041255
1999,Black,-14.41932681
2000,Indian,-2.888980442
2000,Pakistani,-9.717883468
2000,Bangladeshi,-12.97663606
2000,Chinese,-7.510692276
2000,Black,-15.18056917
2001,Indian,-4.34919219
2001,Pakistani,-10.05091197
2001,Bangladeshi,-9.361451195
2001,Chinese,-5.782005639
2001,Black,-14.21877478
2002,Indian,-3.650155786
2002,Pakistani,-9.11970151
2002,Bangladeshi,-6.403075572
2002,Chinese,-4.401048608
2002,Black,-14.8657648
2003,Indian,-3.365506038
2003,Pakistani,-5.912034828
2003,Bangladeshi,-11.22260554
2003,Chinese,-3.940633994
2003,Black,-15.58380215
2004,Indian,-4.655656598
2004,Pakistani,-10.15059787
2004,Bangladeshi,-12.59369015
2004,Chinese,-4.317966201
2004,Black,-15.77291924
2005,Indian,-4.777969787
2005,Pakistani,-12.48866276
2005,Bangladeshi,-13.00886077
2005,Chinese,-6.214102201
2005,Black,-14.75831634
2006,Indian,-4.768136553
2006,Pakistani,-12.59340503
2006,Bangladeshi,-14.0102375
2006,Chinese,-9.390002836
2006,Black,-15.48332678
2007,Indian,-4.931390792
2007,Pakistani,-13.83738111
2007,Bangladeshi,-12.38539715
2007,Chinese,-10.14524357
2007,Black,-16.48304356
2008,Indian,-3.752559628
2008,Pakistani,-14.42100126
2008,Bangladeshi,-9.917585739
2008,Chinese,-10.65290924
2008,Black,-16.77556552
2009,Indian,-4.04415452
2009,Pakistani,-14.98990491
2009,Bangladeshi,-12.56556685
2009,Chinese,-9.061774103
2009,Black,-16.06852548
2010,Indian,-5.448417374
2010,Pakistani,-17.78176377
2010,Bangladeshi,-15.93571811
2010,Chinese,-7.813151772
2010,Black,-16.2397813
2011,Indian,-5.262778395
2011,Pakistani,-15.81511766
2011,Bangladeshi,-17.66439167
2011,Chinese,-7.83396639
2011,Black,-16.13363746
2012,Indian,-4.885721384
2012,Pakistani,-14.67107666
2012,Bangladeshi,-21.86823716
2012,Chinese,-4.835269137
2012,Black,-16.82275416
2013,Indian,-4.011662479
2013,Pakistani,-14.26787461
2013,Bangladeshi,-19.78512699
2013,Chinese,-0.910224639
2013,Black,-16.62136883
2014,Indian,-2.78884336
2014,Pakistani,-11.95854552
2014,Bangladeshi,-21.8017964
2014,Chinese,3.204505495
2014,Black,-17.08129735
2015,Indian,-1.50387863
2015,Pakistani,-11.3878044
2015,Bangladeshi,-23.41523723
2015,Chinese,7.020921516
2015,Black,-18.43386824
