Year,Region,16-24 unemployment rate,,,,,,,,,,,,,,,,,,
2004,UK,12.3,,,,,,,,,,,,,,,,,,
2005,UK,12.9,,,,,,,,,,,,,,,,,,
2006,UK,13.9,,,,,,,,,,,,,,,,,,
2007,UK,13.7,,,,,,,,,,,,,,,,,,
2008,UK,15.0,,,,,,,,,,,,,,,,,,
2009,UK,18.9,,,,,,,,,,,,,,,,,,
2010,UK,19.5,,,,,,,,,,,,,,,,,,
2011,UK,21.3,,,,,,,,,,,,,,,,,,
2012,UK,21.1,,,,,,,,,,,,,,,,,,
2013,UK,20.2,,,,,,,,,,,,,,,,,,
2014,UK,17.2,,,,,,,,,,,,,,,,,,
2015,UK,14.4,,,,,,,,,,,,,,,,,,
2016,UK,13.3,,,,,,,,,,,,,,,,,,
2017,UK,12.1,,,,,,,,,,,,,,,,,,
2018,UK,11.6,,,,,,,,,,,,,,,,,,
2019,UK,11.3,,,,,,,,,,,,,,,,,,
2020,UK,13.3,,,,,,,,,,,,,,,,,,
2004,East,9.9,,,,,,,,,,,,,,,,,,
2005,East,10.3,,,,,,,,,,,,,,,,,,
2006,East,12.2,,,,,,,,,,,,,,,,,,
2007,East,11.4,,,,,,,,,,,,,,,,,,
2008,East,13.9,,,,,,,,,,,,,,,,,,
2009,East,16.4,,,,,,,,,,,,,,,,,,
2010,East,17.3,,,,,,,,,,,,,,,,,,
2011,East,17.7,,,,,,,,,,,,,,,,,,
2012,East,18.4,,,,,,,,,,,,,,,,,,
2013,East,17.6,,,,,,,,,,,,,,,,,,
2014,East,15.7,,,,,,,,,,,,,,,,,,
2015,East,11.2,,,,,,,,,,,,,,,,,,
2016,East,11.8,,,,,,,,,,,,,,,,,,
2017,East,10.2,,,,,,,,,,,,,,,,,,
2018,East,10.7,,,,,,,,,,,,,,,,,,
2019,East,9.8,,,,,,,,,,,,,,,,,,
2020,East,12.9,,,,,,,,,,,,,,,,,,
2004,East Midlands,10.4,,,,,,,,,,,,,,,,,,
2005,East Midlands,12.3,,,,,,,,,,,,,,,,,,
2006,East Midlands,14.1,,,,,,,,,,,,,,,,,,
2007,East Midlands,14.0,,,,,,,,,,,,,,,,,,
2008,East Midlands,14.9,,,,,,,,,,,,,,,,,,
2009,East Midlands,18.0,,,,,,,,,,,,,,,,,,
2010,East Midlands,18.8,,,,,,,,,,,,,,,,,,
2011,East Midlands,21.6,,,,,,,,,,,,,,,,,,
2012,East Midlands,21.5,,,,,,,,,,,,,,,,,,
2013,East Midlands,17.9,,,,,,,,,,,,,,,,,,
2014,East Midlands,12.8,,,,,,,,,,,,,,,,,,
2015,East Midlands,11.6,,,,,,,,,,,,,,,,,,
2016,East Midlands,10.2,,,,,,,,,,,,,,,,,,
2017,East Midlands,13.0,,,,,,,,,,,,,,,,,,
2018,East Midlands,12.0,,,,,,,,,,,,,,,,,,
2019,East Midlands,10.5,,,,,,,,,,,,,,,,,,
2020,East Midlands,14.2,,,,,,,,,,,,,,,,,,
2004,London,18.9,,,,,,,,,,,,,,,,,,
2005,London,19.8,,,,,,,,,,,,,,,,,,
2006,London,18.2,,,,,,,,,,,,,,,,,,
2007,London,18.4,,,,,,,,,,,,,,,,,,
2008,London,18.7,,,,,,,,,,,,,,,,,,
2009,London,22.5,,,,,,,,,,,,,,,,,,
2010,London,22.5,,,,,,,,,,,,,,,,,,
2011,London,25.0,,,,,,,,,,,,,,,,,,
2012,London,24.8,,,,,,,,,,,,,,,,,,
2013,London,24.6,,,,,,,,,,,,,,,,,,
2014,London,20.6,,,,,,,,,,,,,,,,,,
2015,London,18.3,,,,,,,,,,,,,,,,,,
2016,London,17.0,,,,,,,,,,,,,,,,,,
2017,London,13.9,,,,,,,,,,,,,,,,,,
2018,London,14.9,,,,,,,,,,,,,,,,,,
2019,London,14.6,,,,,,,,,,,,,,,,,,
2020,London,17.6,,,,,,,,,,,,,,,,,,
2004,North East,15.0,,,,,,,,,,,,,,,,,,
2005,North East,14.9,,,,,,,,,,,,,,,,,,
2006,North East,17.1,,,,,,,,,,,,,,,,,,
2007,North East,15.4,,,,,,,,,,,,,,,,,,
2008,North East,18.8,,,,,,,,,,,,,,,,,,
2009,North East,22.9,,,,,,,,,,,,,,,,,,
2010,North East,22.5,,,,,,,,,,,,,,,,,,
2011,North East,23.9,,,,,,,,,,,,,,,,,,
2012,North East,25.6,,,,,,,,,,,,,,,,,,
2013,North East,26.3,,,,,,,,,,,,,,,,,,
2014,North East,20.8,,,,,,,,,,,,,,,,,,
2015,North East,18.2,,,,,,,,,,,,,,,,,,
2016,North East,16.4,,,,,,,,,,,,,,,,,,
2017,North East,15.0,,,,,,,,,,,,,,,,,,
2018,North East,13.2,,,,,,,,,,,,,,,,,,
2019,North East,17.4,,,,,,,,,,,,,,,,,,
2020,North East,17.7,,,,,,,,,,,,,,,,,,
2004,North West,13.0,,,,,,,,,,,,,,,,,,
2005,North West,13.7,,,,,,,,,,,,,,,,,,
2006,North West,15.0,,,,,,,,,,,,,,,,,,
2007,North West,14.5,,,,,,,,,,,,,,,,,,
2008,North West,15.5,,,,,,,,,,,,,,,,,,
2009,North West,21.4,,,,,,,,,,,,,,,,,,
2010,North West,21.1,,,,,,,,,,,,,,,,,,
