Year,UK/Scotland,Youth unemployment rate
2004,UK - lower,12
2005,UK - lower,12.5
2006,UK - lower,13.5
2007,UK - lower,13.3
2008,UK - lower,14.5
2009,UK - lower,18.4
2010,UK - lower,18.9
2011,UK - lower,20.7
2012,UK - lower,20.5
2013,UK - lower,19.6
2014,UK - lower,16.6
2015,UK - lower,13.9
2016,UK - lower,12.8
2017,UK - lower,11.6
2018,UK - lower,11.1
2019,UK - lower,10.8
2020,UK - lower,12.6
2004,UK,12.3
2005,UK,12.9
2006,UK,13.9
2007,UK,13.7
2008,UK,15
2009,UK,18.9
2010,UK,19.5
2011,UK,21.3
2012,UK,21.1
2013,UK,20.2
2014,UK,17.2
2015,UK,14.4
2016,UK,13.3
2017,UK,12.1
2018,UK,11.6
2019,UK,11.3
2020,UK,13.3
2004,UK -upper,12.6
2005,UK -upper,13.3
2006,UK -upper,14.3
2007,UK -upper,14.1
2008,UK -upper,15.5
2009,UK -upper,19.4
2010,UK -upper,20.1
2011,UK -upper,21.9
2012,UK -upper,21.7
2013,UK -upper,20.8
2014,UK -upper,17.8
2015,UK -upper,14.9
2016,UK -upper,13.8
2017,UK -upper,12.6
2018,UK -upper,12.1
2019,UK -upper,11.8
2020,UK -upper,14
2004,Scotland - lower,11.4
2005,Scotland - lower,12.2
2006,Scotland - lower,11.9
2007,Scotland - lower,11.2
2008,Scotland - lower,12.4
2009,Scotland - lower,15.2
2010,Scotland - lower,17
2011,Scotland - lower,20.2
2012,Scotland - lower,18.9
2013,Scotland - lower,18.9
2014,Scotland - lower,15.5
2015,Scotland - lower,12.9
2016,Scotland - lower,10.3
2017,Scotland - lower,7.9
2018,Scotland - lower,8.2
2019,Scotland - lower,7
2020,Scotland - lower,11.3
2004,Scotland,12.5
2005,Scotland,13.3
2006,Scotland,13
2007,Scotland,12.3
2008,Scotland,13.6
2009,Scotland,16.6
2010,Scotland,18.5
2011,Scotland,21.8
2012,Scotland,20.5
2013,Scotland,20.5
2014,Scotland,17.1
2015,Scotland,14.4
2016,Scotland,11.8
2017,Scotland,9.2
2018,Scotland,9.6
2019,Scotland,8.3
2020,Scotland,13.5
2004,Scotland -upper,13.6
2005,Scotland -upper,14.4
2006,Scotland -upper,14.1
2007,Scotland -upper,13.4
2008,Scotland -upper,14.8
2009,Scotland -upper,18
2010,Scotland -upper,20
2011,Scotland -upper,23.4
2012,Scotland -upper,22.1
2013,Scotland -upper,22.1
2014,Scotland -upper,18.7
2015,Scotland -upper,15.9
2016,Scotland -upper,13.3
2017,Scotland -upper,10.5
2018,Scotland -upper,11
2019,Scotland -upper,9.6
2020,Scotland -upper,15.7
