Date,Measure,Value,Detail
2021-04-13,First dose,32326604,by pulish date
2021-04-12,First dose,32250481,
2021-04-11,First dose,32190576,
2021-04-10,First dose,32121353,
2021-04-09,First dose,32010244,
2021-04-08,First dose,31903366,
2021-04-07,First dose,31807124,
2021-04-06,First dose,31707594,
2021-04-05,First dose,31622367,
2021-04-04,First dose,31581623,
2021-04-03,First dose,31533568,
2021-04-02,First dose,31425682,
2021-04-01,First dose,31318262,
2021-03-31,First dose,31147444,
2021-03-30,First dose,30908010,
2021-03-29,First dose,30682093,
2021-03-28,First dose,30445284,
2021-03-27,First dose,30151736,
2021-03-26,First dose,29727435,
2021-03-25,First dose,29316130,
2021-03-24,First dose,28991188,
2021-03-23,First dose,28653523,
2021-03-22,First dose,28327873,
2021-03-21,First dose,27997976,
2021-03-20,First dose,27630970,
2021-03-19,First dose,26878662,
2021-03-18,First dose,26263732,
2021-03-17,First dose,25735472,
2021-03-16,First dose,25273226,
2021-03-15,First dose,24839906,
2021-03-14,First dose,24453221,
2021-03-13,First dose,24196211,
2021-03-12,First dose,23684103,
2021-03-11,First dose,23314525,
2021-03-10,First dose,23053716,
2021-03-09,First dose,22809829,
2021-03-08,First dose,22592528,
2021-03-07,First dose,22377255,
2021-03-06,First dose,22213112,
2021-03-05,First dose,21796278,
2021-03-04,First dose,21358815,
2021-03-03,First dose,20982571,
2021-03-02,First dose,20703615,
2021-03-01,First dose,20478619,
2021-02-28,First dose,20275451,
2021-02-27,First dose,20089551,
2021-02-26,First dose,19682048,
2021-02-25,First dose,19177555,
2021-02-24,First dose,18691835,
2021-02-23,First dose,18242873,
2021-02-22,First dose,17916181,
2021-02-21,First dose,17723840,
2021-02-20,First dose,17582121,
2021-02-19,First dose,17247442,
2021-02-18,First dose,16875536,
2021-02-17,First dose,16423082,
2021-02-16,First dose,15940972,
2021-02-15,First dose,15576107,
2021-02-14,First dose,15300151,
2021-02-13,First dose,15062189,
2021-02-12,First dose,14556827,
2021-02-11,First dose,14012224,
2021-02-10,First dose,13509108,
2021-02-09,First dose,13058298,
2021-02-08,First dose,12646486,
2021-02-07,First dose,12294006,
2021-02-06,First dose,12015018,
2021-02-05,First dose,11465210,
2021-02-04,First dose,10971047,
2021-02-03,First dose,10490487,
2021-02-02,First dose,10021471,
2021-02-01,First dose,9646715,
2021-01-31,First dose,9296367,
2021-01-30,First dose,8977329,
2021-01-29,First dose,8378940,
