Date,Cumulative deaths,Detail
2021-04-12,127157,Deaths within 28 days of positive test
2021-04-11,127141,
2021-04-10,127126,
2021-04-09,127107,
2021-04-08,127087,
2021-04-07,127059,
2021-04-06,127036,
2021-04-05,127014,
2021-04-04,126997,
2021-04-03,126973,
2021-04-02,126944,
2021-04-01,126917,
2021-03-31,126889,
2021-03-30,126852,
2021-03-29,126812,
2021-03-28,126778,
2021-03-27,126746,
2021-03-26,126711,
2021-03-25,126663,
2021-03-24,126618,
2021-03-23,126582,
2021-03-22,126531,
2021-03-21,126467,
2021-03-20,126390,
2021-03-19,126324,
2021-03-18,126258,
2021-03-17,126199,
2021-03-16,126121,
2021-03-15,126042,
2021-03-14,125948,
2021-03-13,125855,
2021-03-12,125754,
2021-03-11,125661,
2021-03-10,125541,
2021-03-09,125428,
2021-03-08,125294,
2021-03-07,125149,
2021-03-06,125019,
2021-03-05,124867,
2021-03-04,124699,
2021-03-03,124544,
2021-03-02,124397,
2021-03-01,124218,
2021-02-28,123994,
2021-02-27,123782,
2021-02-26,123556,
2021-02-25,123332,
2021-02-24,123072,
2021-02-23,122802,
2021-02-22,122519,
2021-02-21,122236,
2021-02-20,121912,
2021-02-19,121567,
2021-02-18,121187,
2021-02-17,120770,
2021-02-16,120343,
2021-02-15,119898,
2021-02-14,119383,
2021-02-13,118890,
2021-02-12,118402,
2021-02-11,117875,
2021-02-10,117306,
2021-02-09,116702,
2021-02-08,116100,
2021-02-07,115417,
2021-02-06,114785,
2021-02-05,114086,
2021-02-04,113335,
2021-02-03,112620,
2021-02-02,111763,
2021-02-01,110917,
2021-01-31,110030,
2021-01-30,109141,
2021-01-29,108231,
2021-01-28,107162,
2021-01-27,106056,
2021-01-26,104947,
2021-01-25,103889,
2021-01-24,102726,
2021-01-23,101570,
2021-01-22,100408,
2021-01-21,99169,
2021-01-20,97936,
2021-01-19,96641,
2021-01-18,95279,
2021-01-17,93984,
2021-01-16,92720,
2021-01-15,91418,
2021-01-14,90196,
2021-01-13,88969,
2021-01-12,87757,
2021-01-11,86549,
2021-01-10,85418,
2021-01-09,84325,
2021-01-08,83308,
2021-01-07,82323,
2021-01-06,81330,
2021-01-05,80398,
2021-01-04,79490,
2021-01-03,78649,
2021-01-02,77891,
2021-01-01,77132,
2020-12-31,76385,
2020-12-30,75631,
2020-12-29,74910,
2020-12-28,74252,
2020-12-27,73577,
2020-12-26,72930,
2020-12-25,72277,
2020-12-24,71668,
2020-12-23,71088,
2020-12-22,70520,
2020-12-21,69957,
2020-12-20,69384,
2020-12-19,68879,
2020-12-18,68390,
2020-12-17,67876,
2020-12-16,67339,
2020-12-15,66905,
2020-12-14,66448,
2020-12-13,65968,
2020-12-12,65552,
2020-12-11,65114,
2020-12-10,64661,
2020-12-09,64214,
2020-12-08,63782,
2020-12-07,63347,
2020-12-06,62926,
2020-12-05,62511,
2020-12-04,62117,
2020-12-03,61644,
2020-12-02,61170,
2020-12-01,60785,
2020-11-30,60385,
2020-11-29,59961,
2020-11-28,59499,
2020-11-27,59032,
2020-11-26,58605,
2020-11-25,58175,
2020-11-24,57692,
2020-11-23,57233,
2020-11-22,56768,
2020-11-21,56293,
2020-11-20,55826,
2020-11-19,55374,
2020-11-18,54912,
2020-11-17,54426,
2020-11-16,53986,
2020-11-15,53563,
2020-11-14,53109,
2020-11-13,52679,
2020-11-12,52244,
2020-11-11,51823,
2020-11-10,51433,
2020-11-09,51044,
2020-11-08,50564,
2020-11-07,50149,
2020-11-06,49758,
2020-11-05,49358,
2020-11-04,48979,
2020-11-03,48651,
2020-11-02,48291,
2020-11-01,47957,
2020-10-31,47599,
2020-10-30,47279,
2020-10-29,46941,
2020-10-28,46630,
2020-10-27,46344,
2020-10-26,46077,
2020-10-25,45800,
2020-10-24,45550,
2020-10-23,45336,
2020-10-22,45114,
2020-10-21,44878,
2020-10-20,44657,
2020-10-19,44462,
2020-10-18,44271,
2020-10-17,44112,
2020-10-16,43935,
2020-10-15,43785,
2020-10-14,43634,
2020-10-13,43518,
2020-10-12,43408,
2020-10-11,43295,
2020-10-10,43172,
2020-10-09,43069,
2020-10-08,42990,
2020-10-07,42898,
2020-10-06,42796,
2020-10-05,42725,
2020-10-04,42653,
2020-10-03,42593,
2020-10-02,42526,
2020-10-01,42458,
2020-09-30,42391,
2020-09-29,42334,
2020-09-28,42286,
2020-09-27,42232,
2020-09-26,42185,
2020-09-25,42146,
2020-09-24,42114,
2020-09-23,42079,
2020-09-22,42023,
2020-09-21,41984,
2020-09-20,41957,
2020-09-19,41926,
2020-09-18,41906,
2020-09-17,41882,
2020-09-16,41855,
2020-09-15,41829,
2020-09-14,41811,
2020-09-13,41790,
