Week,Measure,Value
17-01-2016,Bird Feeder,18
24-01-2016,Bird Feeder,14
31-01-2016,Bird Feeder,15
07-02-2016,Bird Feeder,16
14-02-2016,Bird Feeder,14
21-02-2016,Bird Feeder,16
28-02-2016,Bird Feeder,17
06-03-2016,Bird Feeder,20
13-03-2016,Bird Feeder,18
20-03-2016,Bird Feeder,21
27-03-2016,Bird Feeder,24
03-04-2016,Bird Feeder,24
10-04-2016,Bird Feeder,27
17-04-2016,Bird Feeder,29
24-04-2016,Bird Feeder,27
01-05-2016,Bird Feeder,24
08-05-2016,Bird Feeder,25
15-05-2016,Bird Feeder,33
22-05-2016,Bird Feeder,28
29-05-2016,Bird Feeder,30
05-06-2016,Bird Feeder,24
12-06-2016,Bird Feeder,27
19-06-2016,Bird Feeder,24
26-06-2016,Bird Feeder,21
03-07-2016,Bird Feeder,27
10-07-2016,Bird Feeder,21
17-07-2016,Bird Feeder,18
24-07-2016,Bird Feeder,16
31-07-2016,Bird Feeder,18
07-08-2016,Bird Feeder,16
14-08-2016,Bird Feeder,19
21-08-2016,Bird Feeder,15
28-08-2016,Bird Feeder,14
04-09-2016,Bird Feeder,13
11-09-2016,Bird Feeder,15
18-09-2016,Bird Feeder,14
25-09-2016,Bird Feeder,13
02-10-2016,Bird Feeder,14
09-10-2016,Bird Feeder,13
16-10-2016,Bird Feeder,12
23-10-2016,Bird Feeder,15
30-10-2016,Bird Feeder,15
06-11-2016,Bird Feeder,16
13-11-2016,Bird Feeder,18
20-11-2016,Bird Feeder,17
27-11-2016,Bird Feeder,25
04-12-2016,Bird Feeder,24
11-12-2016,Bird Feeder,24
18-12-2016,Bird Feeder,28
25-12-2016,Bird Feeder,24
01-01-2017,Bird Feeder,22
08-01-2017,Bird Feeder,18
15-01-2017,Bird Feeder,17
22-01-2017,Bird Feeder,16
29-01-2017,Bird Feeder,20
05-02-2017,Bird Feeder,18
12-02-2017,Bird Feeder,17
19-02-2017,Bird Feeder,21
26-02-2017,Bird Feeder,17
05-03-2017,Bird Feeder,21
12-03-2017,Bird Feeder,22
19-03-2017,Bird Feeder,22
26-03-2017,Bird Feeder,25
02-04-2017,Bird Feeder,22
09-04-2017,Bird Feeder,31
16-04-2017,Bird Feeder,29
23-04-2017,Bird Feeder,32
30-04-2017,Bird Feeder,32
07-05-2017,Bird Feeder,32
14-05-2017,Bird Feeder,29
21-05-2017,Bird Feeder,27
28-05-2017,Bird Feeder,30
04-06-2017,Bird Feeder,29
11-06-2017,Bird Feeder,30
18-06-2017,Bird Feeder,26
25-06-2017,Bird Feeder,26
02-07-2017,Bird Feeder,25
09-07-2017,Bird Feeder,19
16-07-2017,Bird Feeder,17
23-07-2017,Bird Feeder,19
30-07-2017,Bird Feeder,18
06-08-2017,Bird Feeder,17
13-08-2017,Bird Feeder,16
20-08-2017,Bird Feeder,19
27-08-2017,Bird Feeder,16
03-09-2017,Bird Feeder,17
10-09-2017,Bird Feeder,18
17-09-2017,Bird Feeder,14
24-09-2017,Bird Feeder,12
01-10-2017,Bird Feeder,15
08-10-2017,Bird Feeder,13
15-10-2017,Bird Feeder,14
22-10-2017,Bird Feeder,16
29-10-2017,Bird Feeder,12
05-11-2017,Bird Feeder,17
12-11-2017,Bird Feeder,19
19-11-2017,Bird Feeder,20
26-11-2017,Bird Feeder,23
03-12-2017,Bird Feeder,28
10-12-2017,Bird Feeder,25
17-12-2017,Bird Feeder,24
24-12-2017,Bird Feeder,22
31-12-2017,Bird Feeder,22
07-01-2018,Bird Feeder,24
14-01-2018,Bird Feeder,19
21-01-2018,Bird Feeder,19
28-01-2018,Bird Feeder,18
04-02-2018,Bird Feeder,22
11-02-2018,Bird Feeder,18
18-02-2018,Bird Feeder,20
25-02-2018,Bird Feeder,27
04-03-2018,Bird Feeder,25
11-03-2018,Bird Feeder,24
18-03-2018,Bird Feeder,25
25-03-2018,Bird Feeder,25
01-04-2018,Bird Feeder,27
08-04-2018,Bird Feeder,27
15-04-2018,Bird Feeder,34
22-04-2018,Bird Feeder,37
29-04-2018,Bird Feeder,41
06-05-2018,Bird Feeder,50
13-05-2018,Bird Feeder,46
20-05-2018,Bird Feeder,38
27-05-2018,Bird Feeder,36
03-06-2018,Bird Feeder,34
10-06-2018,Bird Feeder,32
17-06-2018,Bird Feeder,31
24-06-2018,Bird Feeder,25
01-07-2018,Bird Feeder,24
08-07-2018,Bird Feeder,22
15-07-2018,Bird Feeder,21
22-07-2018,Bird Feeder,21
29-07-2018,Bird Feeder,20
05-08-2018,Bird Feeder,17
12-08-2018,Bird Feeder,18
19-08-2018,Bird Feeder,19
26-08-2018,Bird Feeder,16
02-09-2018,Bird Feeder,19
09-09-2018,Bird Feeder,16
16-09-2018,Bird Feeder,14
23-09-2018,Bird Feeder,17
30-09-2018,Bird Feeder,19
07-10-2018,Bird Feeder,18
14-10-2018,Bird Feeder,16
21-10-2018,Bird Feeder,22
28-10-2018,Bird Feeder,18
04-11-2018,Bird Feeder,21
11-11-2018,Bird Feeder,21
18-11-2018,Bird Feeder,23
25-11-2018,Bird Feeder,22
02-12-2018,Bird Feeder,28
09-12-2018,Bird Feeder,27
16-12-2018,Bird Feeder,25
23-12-2018,Bird Feeder,25
30-12-2018,Bird Feeder,21
06-01-2019,Bird Feeder,18
13-01-2019,Bird Feeder,20
20-01-2019,Bird Feeder,20
27-01-2019,Bird Feeder,18
03-02-2019,Bird Feeder,22
10-02-2019,Bird Feeder,22
17-02-2019,Bird Feeder,22
24-02-2019,Bird Feeder,20
03-03-2019,Bird Feeder,24
10-03-2019,Bird Feeder,23
17-03-2019,Bird Feeder,24
24-03-2019,Bird Feeder,29
31-03-2019,Bird Feeder,34
07-04-2019,Bird Feeder,31
14-04-2019,Bird Feeder,35
21-04-2019,Bird Feeder,31
28-04-2019,Bird Feeder,38
05-05-2019,Bird Feeder,40
12-05-2019,Bird Feeder,40
19-05-2019,Bird Feeder,38
26-05-2019,Bird Feeder,42
02-06-2019,Bird Feeder,36
09-06-2019,Bird Feeder,37
16-06-2019,Bird Feeder,30
23-06-2019,Bird Feeder,25
30-06-2019,Bird Feeder,27
07-07-2019,Bird Feeder,24
14-07-2019,Bird Feeder,21
21-07-2019,Bird Feeder,26
28-07-2019,Bird Feeder,22
04-08-2019,Bird Feeder,19
11-08-2019,Bird Feeder,20
18-08-2019,Bird Feeder,20
25-08-2019,Bird Feeder,18
01-09-2019,Bird Feeder,20
08-09-2019,Bird Feeder,16
15-09-2019,Bird Feeder,17
22-09-2019,Bird Feeder,19
29-09-2019,Bird Feeder,17
06-10-2019,Bird Feeder,15
