Date,Value,Detail
1963,5,Households' saving ratio (%)
1964,5.9,
1965,6.3,
1966,6.6,
1967,5.9,
1968,5.3,
1969,5.4,
1970,6.1,
1971,4.8,
1972,7,
1973,7.8,
1974,8.1,
1975,8.9,
1976,8.6,
1977,7.8,
1978,9.4,
1979,10.9,
1980,12.3,
1981,12.2,
1982,11.3,
1983,10.1,
1984,11.4,
1985,11,
1986,10.2,
1987,8.3,
1988,6.7,
1989,8.1,
1990,10.4,
1991,12.5,
1992,14,
1993,13.5,
1994,11.6,
1995,12.8,
1996,11.8,
1997,10.2,
1998,7.2,
1999,5.9,
2000,7.5,
2001,7.5,
2002,7.6,
2003,6.5,
2004,6.7,
2005,6.7,
2006,6.6,
2007,8.1,
2008,7.4,
2009,10.8,
2010,11.2,
2011,9.3,
2012,8.9,
2013,8.1,
2014,8.8,
2015,10.1,
2016,7.4,
2017,5.6,
2018,6.2,
2019,6.8,
2020,16.3,
