Date,Work/commute type,Percentage
21/05/2020,Worked from home only,33
28/05/2020,Worked from home only,30
04/06/2020,Worked from home only,32
11/06/2020,Worked from home only,38
18/06/2020,Worked from home only,33
25/06/2020,Worked from home only,29
02/07/2020,Worked from home only,30
09/07/2020,Worked from home only,27
16/07/2020,Worked from home only,27
23/07/2020,Worked from home only,24
30/07/2020,Worked from home only,25
06/08/2020,Worked from home only,23
13/08/2020,Worked from home only,22
26/08/2020,Worked from home only,20
09/09/2020,Worked from home only,20
21/05/2020,Travelled to work only,29
28/05/2020,Travelled to work only,29
04/06/2020,Travelled to work only,29
11/06/2020,Travelled to work only,30
18/06/2020,Travelled to work only,36
25/06/2020,Travelled to work only,41
02/07/2020,Travelled to work only,39
09/07/2020,Travelled to work only,42
16/07/2020,Travelled to work only,44
23/07/2020,Travelled to work only,45
30/07/2020,Travelled to work only,44
06/08/2020,Travelled to work only,48
13/08/2020,Travelled to work only,47
26/08/2020,Travelled to work only,50
09/09/2020,Travelled to work only,50
21/05/2020,Both WFH and commuted,7
28/05/2020,Both WFH and commuted,11
04/06/2020,Both WFH and commuted,8
11/06/2020,Both WFH and commuted,11
18/06/2020,Both WFH and commuted,8
25/06/2020,Both WFH and commuted,8
02/07/2020,Both WFH and commuted,9
09/07/2020,Both WFH and commuted,9
16/07/2020,Both WFH and commuted,9
23/07/2020,Both WFH and commuted,9
30/07/2020,Both WFH and commuted,7
06/08/2020,Both WFH and commuted,7
13/08/2020,Both WFH and commuted,8
26/08/2020,Both WFH and commuted,7
09/09/2020,Both WFH and commuted,12
21/05/2020,Neither: furloughed ,15
28/05/2020,Neither: furloughed ,12
04/06/2020,Neither: furloughed ,16
11/06/2020,Neither: furloughed ,12
18/06/2020,Neither: furloughed ,13
25/06/2020,Neither: furloughed ,10
02/07/2020,Neither: furloughed ,10
09/07/2020,Neither: furloughed ,8
16/07/2020,Neither: furloughed ,7
23/07/2020,Neither: furloughed ,8
30/07/2020,Neither: furloughed ,5
06/08/2020,Neither: furloughed ,3
13/08/2020,Neither: furloughed ,4
26/08/2020,Neither: furloughed ,6
09/09/2020,Neither: furloughed ,4
21/05/2020,Neither: other,17
28/05/2020,Neither: other,18
04/06/2020,Neither: other,14
11/06/2020,Neither: other,9
18/06/2020,Neither: other,10
25/06/2020,Neither: other,13
02/07/2020,Neither: other,11
09/07/2020,Neither: other,15
16/07/2020,Neither: other,13
23/07/2020,Neither: other,14
30/07/2020,Neither: other,18
06/08/2020,Neither: other,18
13/08/2020,Neither: other,18
26/08/2020,Neither: other,17
09/09/2020,Neither: other,14
