Date ,Region,Value,Detail
2011-01-01,Cornwall,5.54,Percentage change (yearly) Detached houses
2011-02-01,Cornwall,3.33,Land Registry
2011-03-01,Cornwall,0.84,
2011-04-01,Cornwall,-2.96,
2011-05-01,Cornwall,-4.72,
2011-06-01,Cornwall,-4.77,
2011-07-01,Cornwall,-3.21,
2011-08-01,Cornwall,-3.12,
2011-09-01,Cornwall,-3.23,
2011-10-01,Cornwall,-3.83,
2011-11-01,Cornwall,-4.51,
2011-12-01,Cornwall,-3.54,
2012-01-01,Cornwall,-4.08,
2012-02-01,Cornwall,-1.56,
2012-03-01,Cornwall,-1.36,
2012-04-01,Cornwall,1.73,
2012-05-01,Cornwall,2.94,
2012-06-01,Cornwall,5.05,
2012-07-01,Cornwall,3.86,
2012-08-01,Cornwall,0.44,
2012-09-01,Cornwall,-1.66,
2012-10-01,Cornwall,-3.26,
2012-11-01,Cornwall,-1.07,
2012-12-01,Cornwall,-1.56,
2013-01-01,Cornwall,-0.62,
2013-02-01,Cornwall,-2.45,
2013-03-01,Cornwall,-2.09,
2013-04-01,Cornwall,-2.85,
2013-05-01,Cornwall,-2.17,
2013-06-01,Cornwall,-1.92,
2013-07-01,Cornwall,-1.42,
2013-08-01,Cornwall,1.52,
2013-09-01,Cornwall,3.12,
2013-10-01,Cornwall,4.49,
2013-11-01,Cornwall,3.28,
2013-12-01,Cornwall,3.06,
2014-01-01,Cornwall,3.12,
2014-02-01,Cornwall,4.37,
2014-03-01,Cornwall,5.35,
2014-04-01,Cornwall,5.19,
2014-05-01,Cornwall,3.88,
2014-06-01,Cornwall,1.86,
2014-07-01,Cornwall,2.51,
2014-08-01,Cornwall,2.55,
2014-09-01,Cornwall,4.19,
2014-10-01,Cornwall,4.73,
2014-11-01,Cornwall,4.95,
2014-12-01,Cornwall,5.1,
2015-01-01,Cornwall,4.07,
2015-02-01,Cornwall,3.3,
2015-03-01,Cornwall,2.91,
2015-04-01,Cornwall,4.17,
2015-05-01,Cornwall,5.95,
2015-06-01,Cornwall,6.87,
2015-07-01,Cornwall,5.68,
2015-08-01,Cornwall,5.52,
2015-09-01,Cornwall,4.47,
2015-10-01,Cornwall,5.03,
2015-11-01,Cornwall,5.09,
2015-12-01,Cornwall,6.17,
2016-01-01,Cornwall,5.53,
2016-02-01,Cornwall,4.89,
2016-03-01,Cornwall,6.32,
2016-04-01,Cornwall,4.48,
2016-05-01,Cornwall,2.89,
2016-06-01,Cornwall,-0.55,
2016-07-01,Cornwall,0.13,
2016-08-01,Cornwall,0.65,
2016-09-01,Cornwall,-0.15,
2016-10-01,Cornwall,-0.15,
