date,areaType,areaCode,areaName,newCasesByPublishDate,newCasesBySpecimenDate,date2
02/12/2020,region,E12000001,North East,590,,2020-12-02
01/12/2020,region,E12000001,North East,638,39,2020-12-01
30/11/2020,region,E12000001,North East,528,616,2020-11-30
29/11/2020,region,E12000001,North East,598,446,2020-11-29
28/11/2020,region,E12000001,North East,752,492,2020-11-28
27/11/2020,region,E12000001,North East,805,635,2020-11-27
26/11/2020,region,E12000001,North East,900,702,2020-11-26
25/11/2020,region,E12000001,North East,876,804,2020-11-25
24/11/2020,region,E12000001,North East,598,853,2020-11-24
23/11/2020,region,E12000001,North East,732,971,2020-11-23
22/11/2020,region,E12000001,North East,837,624,2020-11-22
21/11/2020,region,E12000001,North East,1106,678,2020-11-21
20/11/2020,region,E12000001,North East,1439,942,2020-11-20
19/11/2020,region,E12000001,North East,1290,1022,2020-11-19
18/11/2020,region,E12000001,North East,1556,1342,2020-11-18
17/11/2020,region,E12000001,North East,1276,1470,2020-11-17
16/11/2020,region,E12000001,North East,3365,1571,2020-11-16
15/11/2020,region,E12000001,North East,1483,1053,2020-11-15
14/11/2020,region,E12000001,North East,1619,1050,2020-11-14
13/11/2020,region,E12000001,North East,1883,1510,2020-11-13
12/11/2020,region,E12000001,North East,2086,1533,2020-11-12
11/11/2020,region,E12000001,North East,1671,1857,2020-11-11
10/11/2020,region,E12000001,North East,1303,1777,2020-11-10
09/11/2020,region,E12000001,North East,1340,2055,2020-11-09
08/11/2020,region,E12000001,North East,1506,1294,2020-11-08
07/11/2020,region,E12000001,North East,1391,1345,2020-11-07
06/11/2020,region,E12000001,North East,1453,1460,2020-11-06
05/11/2020,region,E12000001,North East,1570,1486,2020-11-05
04/11/2020,region,E12000001,North East,1272,1414,2020-11-04
03/11/2020,region,E12000001,North East,1302,1520,2020-11-03
02/11/2020,region,E12000001,North East,1039,1673,2020-11-02
01/11/2020,region,E12000001,North East,1170,994,2020-11-01
31/10/2020,region,E12000001,North East,1163,883,2020-10-31
30/10/2020,region,E12000001,North East,1054,1210,2020-10-30
29/10/2020,region,E12000001,North East,1136,1122,2020-10-29
28/10/2020,region,E12000001,North East,1021,1171,2020-10-28
27/10/2020,region,E12000001,North East,1162,1176,2020-10-27
26/10/2020,region,E12000001,North East,970,1317,2020-10-26
25/10/2020,region,E12000001,North East,1048,848,2020-10-25
24/10/2020,region,E12000001,North East,1150,861,2020-10-24
23/10/2020,region,E12000001,North East,1277,1038,2020-10-23
22/10/2020,region,E12000001,North East,1393,1227,2020-10-22
21/10/2020,region,E12000001,North East,1888,1507,2020-10-21
20/10/2020,region,E12000001,North East,1438,1433,2020-10-20
19/10/2020,region,E12000001,North East,707,1408,2020-10-19
18/10/2020,region,E12000001,North East,555,826,2020-10-18
