Date,Value,Detail
2011-01-01,96510,Anti-social behaviour offences in England and Wales
2011-02-01,99331,
2011-03-01,111396,
2011-04-01,122806,
2011-05-01,111383,
2011-06-01,115128,
2011-07-01,129184,
2011-08-01,124856,
2011-09-01,109703,
2011-10-01,112986,
2011-11-01,97777,
2011-12-01,96326,
2012-01-01,98973,
2012-02-01,103499,
2012-03-01,118561,
2012-04-01,104378,
2012-05-01,118105,
2012-06-01,112785,
2012-07-01,121459,
2012-08-01,125092,
2012-09-01,110674,
2012-10-01,107417,
2012-11-01,95250,
2012-12-01,85803,
2013-01-01,99009,
2013-02-01,87687,
2013-03-01,93893,
2013-04-01,98744,
2013-05-01,104587,
2013-06-01,109810,
2013-07-01,128542,
2013-08-01,118341,
2013-09-01,99993,
2013-10-01,99378,
2013-11-01,90804,
2013-12-01,81526,
2014-01-01,80490,
2014-02-01,78280,
2014-03-01,94217,
2014-04-01,97905,
2014-05-01,101640,
2014-06-01,107878,
2014-07-01,116517,
2014-08-01,101788,
2014-09-01,101381,
2014-10-01,95747,
2014-11-01,85960,
2014-12-01,75820,
2015-01-01,75943,
2015-02-01,76640,
2015-03-01,86400,
2015-04-01,93327,
2015-05-01,94152,
2015-06-01,98806,
2015-07-01,102748,
2015-08-01,99344,
2015-09-01,88026,
2015-10-01,91677,
2015-11-01,78740,
2015-12-01,74404,
2016-01-01,73715,
2016-02-01,73761,
2016-03-01,82662,
2016-04-01,84251,
2016-05-01,94673,
2016-06-01,94200,
2016-07-01,103129,
2016-08-01,99373,
2016-09-01,93033,
2016-10-01,93104,
2016-11-01,76331,
2016-12-01,73996,
2017-01-01,72533,
2017-02-01,72016,
2017-03-01,84061,
2017-04-01,88374,
2017-05-01,90345,
2017-06-01,90705,
2017-07-01,94683,
2017-08-01,90999,
2017-09-01,80159,
2017-10-01,85885,
2017-11-01,72537,
2017-12-01,65060,
2018-01-01,64435,
2018-02-01,61240,
2018-03-01,68339,
2018-04-01,72240,
2018-05-01,79396,
2018-06-01,80590,
2018-07-01,85433,
2018-08-01,77818,
2018-09-01,68314,
2018-10-01,69047,
2018-11-01,61602,
2018-12-01,57071,
2019-01-01,58673,
2019-02-01,60087,
2019-03-01,65229,
2019-04-01,70081,
2019-05-01,72231,
2019-06-01,72290,
2019-07-01,81532,
2019-08-01,76942,
2019-09-01,67022,
2019-10-01,67399,
2019-11-01,58936,
2019-12-01,52670,
2020-01-01,56931,
2020-02-01,54692,
2020-03-01,69947,
2020-04-01,116048,
2020-05-01,119526,
2020-06-01,97154,
2020-07-01,87755,
2020-08-01,89623,
2020-09-01,79520,
