Week,Year,Number of domestic abuse calls
1,2019,3667
2,2019,3119
3,2019,3129
4,2019,3280
5,2019,3201
6,2019,3224
7,2019,3293
8,2019,3289
9,2019,3129
10,2019,3222
11,2019,3222
12,2019,3262
13,2019,3286
14,2019,3176
15,2019,3172
16,2019,3383
17,2019,3457
18,2019,3241
19,2019,3350
20,2019,3211
21,2019,3530
22,2019,3536
23,2019,3385
1,2020,3569
2,2020,3275
3,2020,3063
4,2020,3194
5,2020,3309
6,2020,3187
7,2020,3281
8,2020,3355
9,2020,3161
10,2020,3292
11,2020,3331
12,2020,3501
13,2020,3554
14,2020,3605
15,2020,3869
16,2020,3529
17,2020,3822
18,2020,3702
19,2020,3694
20,2020,3657
21,2020,3935
22,2020,4138
23,2020,3653
