date,name,value,date2
01/08/2015,Self-Employed,0,2015-08-01
01/08/2015,Employees,0,2015-08-02
01/09/2015,Self-Employed,1.413,2015-08-03
01/09/2015,Employees,0.19,2015-08-04
01/10/2015,Self-Employed,2.624,2015-08-05
01/10/2015,Employees,0.427,2015-08-06
01/11/2015,Self-Employed,3.116,2015-08-07
01/11/2015,Employees,0.64,2015-08-08
01/12/2015,Self-Employed,3.706,2015-08-09
01/12/2015,Employees,0.615,2015-08-10
01/01/2016,Self-Employed,3.311,2015-08-11
01/01/2016,Employees,0.701,2015-08-12
01/02/2016,Self-Employed,3.877,2015-08-13
01/02/2016,Employees,0.62,2015-08-14
01/03/2016,Self-Employed,4.459,2015-08-15
01/03/2016,Employees,0.609,2015-08-16
01/04/2016,Self-Employed,4.294,2015-08-17
01/04/2016,Employees,0.717,2015-08-18
01/05/2016,Self-Employed,5.871,2015-08-19
01/05/2016,Employees,0.839,2015-08-20
01/06/2016,Self-Employed,6.038,2015-08-21
01/06/2016,Employees,0.956,2015-08-22
01/07/2016,Self-Employed,5.34,2015-08-23
01/07/2016,Employees,1.248,2015-08-24
01/08/2016,Self-Employed,6.057,2015-08-25
01/08/2016,Employees,1.231,2015-08-26
01/09/2016,Self-Employed,6.091,2015-08-27
01/09/2016,Employees,1.219,2015-08-28
01/10/2016,Self-Employed,5.535,2015-08-29
01/10/2016,Employees,1.245,2015-08-30
01/11/2016,Self-Employed,5.976,2015-08-31
01/11/2016,Employees,1.202,2015-09-01
01/12/2016,Self-Employed,6.44,2015-09-02
01/12/2016,Employees,1.255,2015-09-03
01/01/2017,Self-Employed,6.555,2015-09-04
01/01/2017,Employees,1.222,2015-09-05
01/02/2017,Self-Employed,6.403,2015-09-06
01/02/2017,Employees,1.318,2015-09-07
01/03/2017,Self-Employed,6.329,2015-09-08
01/03/2017,Employees,1.637,2015-09-09
01/04/2017,Self-Employed,6.548,2015-09-10
01/04/2017,Employees,1.677,2015-09-11
01/05/2017,Self-Employed,6.26,2015-09-12
01/05/2017,Employees,2.003,2015-09-13
01/06/2017,Self-Employed,6.518,2015-09-14
01/06/2017,Employees,2.158,2015-09-15
01/07/2017,Self-Employed,7.255,2015-09-16
01/07/2017,Employees,2.272,2015-09-17
01/08/2017,Self-Employed,7.553,2015-09-18
01/08/2017,Employees,2.124,2015-09-19
01/09/2017,Self-Employed,6.592,2015-09-20
01/09/2017,Employees,2.152,2015-09-21
01/10/2017,Self-Employed,6.519,2015-09-22
01/10/2017,Employees,2.244,2015-09-23
01/11/2017,Self-Employed,5.706,2015-09-24
01/11/2017,Employees,2.789,2015-09-25
01/12/2017,Self-Employed,5.848,2015-09-26
01/12/2017,Employees,2.533,2015-09-27
01/01/2018,Self-Employed,5.78,2015-09-28
01/01/2018,Employees,2.927,2015-09-29
01/02/2018,Self-Employed,5.4,2015-09-30
01/02/2018,Employees,3.167,2015-10-01
01/03/2018,Self-Employed,5.273,2015-10-02
01/03/2018,Employees,3.479,2015-10-03
01/04/2018,Self-Employed,6.626,2015-10-04
01/04/2018,Employees,3.472,2015-10-05
01/05/2018,Self-Employed,6.096,2015-10-06
01/05/2018,Employees,3.529,2015-10-07
01/06/2018,Self-Employed,5.722,2015-10-08
01/06/2018,Employees,3.582,2015-10-09
01/07/2018,Self-Employed,6.415,2015-10-10
01/07/2018,Employees,3.517,2015-10-11
01/08/2018,Self-Employed,5.657,2015-10-12
01/08/2018,Employees,3.683,2015-10-13
01/09/2018,Self-Employed,5.486,2015-10-14
01/09/2018,Employees,3.799,2015-10-15
01/10/2018,Self-Employed,5.885,2015-10-16
01/10/2018,Employees,3.952,2015-10-17
01/11/2018,Self-Employed,7.6,2015-10-18
01/11/2018,Employees,3.883,2015-10-19
01/12/2018,Self-Employed,7.252,2015-10-20
01/12/2018,Employees,4.1,2015-10-21
01/01/2019,Self-Employed,7.223,2015-10-22
01/01/2019,Employees,4.526,2015-10-23
01/02/2019,Self-Employed,7.092,2015-10-24
01/02/2019,Employees,4.557,2015-10-25
01/03/2019,Self-Employed,9.254,2015-10-26
01/03/2019,Employees,4.113,2015-10-27
01/04/2019,Self-Employed,8.872,2015-10-28
01/04/2019,Employees,4.383,2015-10-29
01/05/2019,Self-Employed,9.808,2015-10-30
01/05/2019,Employees,4.237,2015-10-31
01/06/2019,Self-Employed,9.888,2015-11-01
01/06/2019,Employees,4.398,2015-11-02
01/07/2019,Self-Employed,9.194,2015-11-03
01/07/2019,Employees,4.405,2015-11-04
01/08/2019,Self-Employed,9.252,2015-11-05
01/08/2019,Employees,4.051,2015-11-06
01/09/2019,Self-Employed,9.805,2015-11-07
01/09/2019,Employees,4.215,2015-11-08
01/10/2019,Self-Employed,9.917,2015-11-09
01/10/2019,Employees,4.365,2015-11-10
01/11/2019,Self-Employed,10.823,2015-11-11
01/11/2019,Employees,4.558,2015-11-12
01/12/2019,Self-Employed,11.389,2015-11-13
01/12/2019,Employees,4.613,2015-11-14
01/01/2020,Self-Employed,11.523,2015-11-15
01/01/2020,Employees,4.741,2015-11-16
01/02/2020,Self-Employed,11.422,2015-11-17
01/02/2020,Employees,5.104,2015-11-18
01/03/2020,Self-Employed,9.646,2015-11-19
01/03/2020,Employees,5.191,2015-11-20
01/04/2020,Self-Employed,7.809,2015-11-21
01/04/2020,Employees,4.96,2015-11-22
01/05/2020,Self-Employed,6.281,2015-11-23
01/05/2020,Employees,4.909,2015-11-24
01/06/2020,Self-Employed,4.155,2015-11-25
01/06/2020,Employees,4.993,2015-11-26
01/07/2020,Self-Employed,3.69,2015-11-27
01/07/2020,Employees,5.054,2015-11-28
01/08/2020,Self-Employed,0.969,2015-11-29
01/08/2020,Employees,5.258,2015-11-30
