Measure,Date,Date2,Percentage
LFS Employment,01/07/2015,2015-07-01,1.557254532
LFS Employment,01/08/2015,2015-08-01,1.390264132
LFS Employment,01/09/2015,2015-09-01,1.594805699
LFS Employment,01/10/2015,2015-10-01,1.869855242
LFS Employment,01/11/2015,2015-11-01,2.102947134
LFS Employment,01/12/2015,2015-12-01,1.888639611
LFS Employment,01/01/2016,2016-01-01,1.703867067
LFS Employment,01/02/2016,2016-02-01,1.370989978
LFS Employment,01/03/2016,2016-03-01,1.319611558
LFS Employment,01/04/2016,2016-04-01,1.50184601
LFS Employment,01/05/2016,2016-05-01,2.064454344
LFS Employment,01/06/2016,2016-06-01,2.004045984
LFS Employment,01/07/2016,2016-07-01,1.858976561
LFS Employment,01/08/2016,2016-08-01,1.856168409
LFS Employment,01/09/2016,2016-09-01,1.501160325
LFS Employment,01/10/2016,2016-10-01,1.125514278
LFS Employment,01/11/2016,2016-11-01,0.926213644
LFS Employment,01/12/2016,2016-12-01,0.959092566
LFS Employment,01/01/2017,2017-01-01,0.962417562
LFS Employment,01/02/2017,2017-02-01,0.957336324
LFS Employment,01/03/2017,2017-03-01,1.169825261
LFS Employment,01/04/2017,2017-04-01,1.10203702
LFS Employment,01/05/2017,2017-05-01,0.932346378
LFS Employment,01/06/2017,2017-06-01,0.993311271
LFS Employment,01/07/2017,2017-07-01,1.102552861
LFS Employment,01/08/2017,2017-08-01,0.913238039
LFS Employment,01/09/2017,2017-09-01,0.788318713
LFS Employment,01/10/2017,2017-10-01,0.935726199
LFS Employment,01/11/2017,2017-11-01,1.257985565
LFS Employment,01/12/2017,2017-12-01,0.959472911
LFS Employment,01/01/2018,2018-01-01,1.22110445
LFS Employment,01/02/2018,2018-02-01,1.251191134
LFS Employment,01/03/2018,2018-03-01,1.22765259
LFS Employment,01/04/2018,2018-04-01,1.338042937
LFS Employment,01/05/2018,2018-05-01,1.186617657
LFS Employment,01/06/2018,2018-06-01,0.991850623
LFS Employment,01/07/2018,2018-07-01,0.846921996
LFS Employment,01/08/2018,2018-08-01,0.945636984
LFS Employment,01/09/2018,2018-09-01,1.133094716
LFS Employment,01/10/2018,2018-10-01,1.224049775
LFS Employment,01/11/2018,2018-11-01,1.012640506
LFS Employment,01/12/2018,2018-12-01,1.361116546
LFS Employment,01/01/2019,2019-01-01,1.444849727
LFS Employment,01/02/2019,2019-02-01,1.39732023
LFS Employment,01/03/2019,2019-03-01,1.081511578
LFS Employment,01/04/2019,2019-04-01,1.090461606
LFS Employment,01/05/2019,2019-05-01,1.081255637
LFS Employment,01/06/2019,2019-06-01,1.29470947
LFS Employment,01/07/2019,2019-07-01,1.127217751
LFS Employment,01/08/2019,2019-08-01,0.86372275
LFS Employment,01/09/2019,2019-09-01,0.98513439
LFS Employment,01/10/2019,2019-10-01,0.943044853
LFS Employment,01/11/2019,2019-11-01,1.089912017
LFS Employment,01/12/2019,2019-12-01,1.021120998
LFS Employment,01/01/2020,2020-01-01,0.822318618
LFS Employment,01/02/2020,2020-02-01,1.064820968
LFS Employment,01/03/2020,2020-03-01,0.935194074
LFS Employment,01/04/2020,2020-04-01,0.286006993
LFS Employment,01/05/2020,2020-05-01,-0.016360826
LFS Employment,01/06/2020,2020-06-01,-0.429913031
LFS Employment,01/07/2020,2020-07-01,-0.341896282
LFS Employment,01/08/2020,2020-08-01,-0.313595694
LFS Employment,01/09/2020,2020-09-01,-0.75859293
LFS Employment,01/10/2020,2020-10-01,
LFS Employees,01/07/2015,2015-07-01,2.119631473
LFS Employees,01/08/2015,2015-08-01,1.883187468
LFS Employees,01/09/2015,2015-09-01,1.865845639
LFS Employees,01/10/2015,2015-10-01,2.066982705
LFS Employees,01/11/2015,2015-11-01,2.168112268
LFS Employees,01/12/2015,2015-12-01,1.689137063
LFS Employees,01/01/2016,2016-01-01,1.665841444
