Date,Nation,Value,NationUK,ValueUK,Detail
2018-04-01,England,0.3,UK,0.3,Sesonally adjusted quarter-on-quarter GDP growth (%)
2018-07-01,England,0.9,UK,0.7,
2018-10-01,England,0.5,UK,0.3,
2019-01-01,England,0.6,UK,0.6,
2019-04-01,England,0.1,UK,0.0,
2019-07-01,England,0.5,UK,0.4,
2019-10-01,England,0.0,UK,0.0,
2020-01-01,England,-2.7,UK,-2.8,
2020-04-01,England,-19.0,UK,-18.8,
2018-04-01,Wales,0.8,,,
2018-07-01,Wales,0.6,,,
2018-10-01,Wales,0.3,,,
2019-01-01,Wales,-0.2,,,
2019-04-01,Wales,0.0,,,
2019-07-01,Wales,0.5,,,
2019-10-01,Wales,-1.9,,,
2020-01-01,Wales,-2.4,,,
2020-04-01,Wales,-15.1,,,
2018-04-01,Scotland,0.6,,,
2018-07-01,Scotland,0.2,,,
2018-10-01,Scotland,0.1,,,
2019-01-01,Scotland,0.5,,,
2019-04-01,Scotland,-0.2,,,
2019-07-01,Scotland,0.1,,,
2019-10-01,Scotland,0.0,,,
2020-01-01,Scotland,-3.2,,,
2020-04-01,Scotland,-19.4,,,
2018-04-01,Northern Ireland,0.9,,,
2018-07-01,Northern Ireland,0.9,,,
2018-10-01,Northern Ireland,-0.9,,,
2019-01-01,Northern Ireland,0.2,,,
2019-04-01,Northern Ireland,0.8,,,
2019-07-01,Northern Ireland,0.7,,,
2019-10-01,Northern Ireland,-1.0,,,
2020-01-01,Northern Ireland,-4.5,,,
2020-04-01,Northern Ireland,-13.6,,,
