date,metric,value
2005,Exports,241
2006,Exports,302
2007,Exports,352
2008,Exports,468
2009,Exports,302
2010,Exports,397
2011,Exports,517
2012,Exports,528
2013,Exports,527
2014,Exports,499
2015,Exports,344
2016,Exports,302
2017,Exports,379
2018,Exports,451
2019,Exports,427
2005,Imports,99
2006,Imports,139
2007,Imports,200
2008,Imports,267
2009,Imports,171
2010,Imports,229
2011,Imports,306
2012,Imports,316
2013,Imports,315
2014,Imports,287
2015,Imports,183
2016,Imports,207
2017,Imports,260
2018,Imports,240
2019,Imports,247
2005,Oil price index (2005=100),100.00
2006,Oil price index (2005=100),110.71
2007,Oil price index (2005=100),128.57
2008,Oil price index (2005=100),178.57
2009,Oil price index (2005=100),110.71
2010,Oil price index (2005=100),141.07
2011,Oil price index (2005=100),169.64
2012,Oil price index (2005=100),167.86
2013,Oil price index (2005=100),166.07
2014,Oil price index (2005=100),87.50
2015,Oil price index (2005=100),76.79
2016,Oil price index (2005=100),91.07
2017,Oil price index (2005=100),116.07
2018,Oil price index (2005=100),101.79
2019,Oil price index (2005=100),71.43
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
