date,measure,value,value2
2015-01-01,Retail,-4.4,-0.044
2015-02-01,Retail,-7.5,-0.075
2015-03-01,Retail,-9,-0.09
2015-04-01,Retail,-9.9,-0.099
2015-05-01,Retail,-9.5,-0.095
2015-06-01,Retail,-9.7,-0.097
2015-07-01,Retail,-9.6,-0.096
2015-08-01,Retail,-9.5,-0.095
2015-09-01,Retail,-10.7,-0.107
2015-10-01,Retail,-11.3,-0.113
2015-11-01,Retail,-12.2,-0.122
2015-12-01,Retail,-14.1,-0.141
2016-01-01,Retail,-6.2,-0.062
2016-02-01,Retail,-3.7,-0.037
2016-03-01,Retail,-5.1,-0.051
2016-04-01,Retail,-4.3,-0.043
2016-05-01,Retail,-5.3,-0.053
2016-06-01,Retail,-5,-0.05
2016-07-01,Retail,-6,-0.06
2016-08-01,Retail,-3.5,-0.035
2016-09-01,Retail,-3.6,-0.036
2016-10-01,Retail,-4.7,-0.047
2016-11-01,Retail,-4.7,-0.047
2016-12-01,Retail,-5.6,-0.056
2017-01-01,Retail,-2,-0.02
2017-02-01,Retail,-2.8,-0.028
2017-03-01,Retail,0,0
2017-04-01,Retail,0.3,0.003
2017-05-01,Retail,1.1,0.011
2017-06-01,Retail,1.4,0.014
2017-07-01,Retail,2.6,0.026
2017-08-01,Retail,0.4,0.004
2017-09-01,Retail,3.1,0.031
2017-10-01,Retail,3.4,0.034
2017-11-01,Retail,3.1,0.031
2017-12-01,Retail,3.3,0.033
2018-01-01,Retail,3,0.03
2018-02-01,Retail,2.1,0.021
2018-03-01,Retail,3,0.03
2018-04-01,Retail,3.2,0.032
2018-05-01,Retail,2.9,0.029
2018-06-01,Retail,3.4,0.034
2018-07-01,Retail,2.8,0.028
2018-08-01,Retail,3,0.03
2018-09-01,Retail,2.3,0.023
2018-10-01,Retail,2.2,0.022
2018-11-01,Retail,3.3,0.033
2018-12-01,Retail,2.7,0.027
2019-01-01,Retail,2.2,0.022
2019-02-01,Retail,2.3,0.023
2019-03-01,Retail,2.4,0.024
2019-04-01,Retail,2,0.02
2019-05-01,Retail,1.9,0.019
2019-06-01,Retail,1.8,0.018
2019-07-01,Retail,1.5,0.015
2019-08-01,Retail,1.1,0.011
2019-09-01,Retail,0.9,0.009
2019-10-01,Retail,1.9,0.019
2019-11-01,Retail,2.6,0.026
2019-12-01,Retail,1.8,0.018
2020-01-01,Retail,2.8,0.028
2020-02-01,Retail,4.9,0.049
2020-03-01,Retail,6.9,0.069
2020-04-01,Retail,-22.0,-0.22
2020-05-01,Retail,-17.5,-0.175
2020-06-01,Retail,-6.1,-0.061
2020-07-01,Retail,-0.5,-0.005
2020-08-01,Retail,-0.7,-0.007
2020-09-01,Retail,-1.2,-0.012
2020-10-01,Retail,-0.4,-0.004
2020-11-01,Retail,-2.4,-0.024
2020-12-01,Retail,-2.2,-0.022
2021-01-01,Retail,1.1,0.011
2021-02-01,Retail,-0.7,-0.007
2021-03-01,Retail,-2.5,-0.025
2021-04-01,Retail,36.3,0.363
2021-05-01,Retail,28,0.28
2021-06-01,Retail,11.5,0.115
2021-07-01,Retail,5.7,0.057
2021-08-01,Retail,5.8,0.058
2021-09-01,Retail,6.2,0.062
2021-10-01,Retail,4.6,0.046
2021-11-01,Retail,3.6,0.036
2021-12-01,Retail,5.6,0.056
2022-01-01,Retail,4.5,0.045
2022-02-01,Retail,7,0.07
2022-03-01,Retail,3,0.03
2022-04-01,Retail,-9.6,-0.096
2022-05-01,Retail,-9.7,-0.097
2022-06-01,Retail,-9.4,-0.094
2022-07-01,Retail,-9.1,-0.091
2022-08-01,Retail,-9.4,-0.094
2022-09-01,Retail,-10.9,-0.109
2022-10-01,Retail,-10.2,-0.102
2022-11-01,Retail,-7.9,-0.079
2022-12-01,Retail,-10.4,-0.104
2023-01-01,Retail,-7.9,-0.079
2023-02-01,Retail,-9,-0.09
2023-03-01,Retail,-5.1,-0.051
2023-04-01,Retail,7.4,0.074
2015-01-01,Food,-5.4,-0.054
2015-02-01,Food,-7.6,-0.076
2015-03-01,Food,-7.7,-0.077
2015-04-01,Food,-9,-0.09
2015-05-01,Food,-9,-0.09
2015-06-01,Food,-9.3,-0.093
2015-07-01,Food,-9.1,-0.091
2015-08-01,Food,-9.9,-0.099
2015-09-01,Food,-9.6,-0.096
2015-10-01,Food,-10.1,-0.101
2015-11-01,Food,-10.2,-0.102
2015-12-01,Food,-10.1,-0.101
2016-01-01,Food,-5.7,-0.057
2016-02-01,Food,-3.4,-0.034
2016-03-01,Food,-5.1,-0.051
2016-04-01,Food,-4.8,-0.048
2016-05-01,Food,-6,-0.06
2016-06-01,Food,-5.4,-0.054
2016-07-01,Food,-5.2,-0.052
2016-08-01,Food,-5.3,-0.053
2016-09-01,Food,-4.5,-0.045
2016-10-01,Food,-5.5,-0.055
2016-11-01,Food,-4.9,-0.049
2016-12-01,Food,-6.3,-0.063
2017-01-01,Food,-2.7,-0.027
2017-02-01,Food,-3.6,-0.036
2017-03-01,Food,-0.8,-0.008
2017-04-01,Food,0,0
2017-05-01,Food,0.6,0.006
2017-06-01,Food,0.2,0.002
2017-07-01,Food,0.8,0.008
2017-08-01,Food,2,0.02
2017-09-01,Food,4,0.04
2017-10-01,Food,3.8,0.038
2017-11-01,Food,3,0.03
2017-12-01,Food,3.7,0.037
2018-01-01,Food,2.9,0.029
2018-02-01,Food,2.3,0.023
2018-03-01,Food,2.9,0.029
2018-04-01,Food,2.7,0.027
2018-05-01,Food,2.6,0.026
2018-06-01,Food,3.8,0.038
2018-07-01,Food,1.9,0.019
2018-08-01,Food,1.3,0.013
2018-09-01,Food,0.1,0.001
2018-10-01,Food,0.7,0.007
2018-11-01,Food,2,0.02
2018-12-01,Food,2,0.02
2019-01-01,Food,2.1,0.021
2019-02-01,Food,2,0.02
2019-03-01,Food,2.4,0.024
2019-04-01,Food,1.8,0.018
2019-05-01,Food,2.3,0.023
2019-06-01,Food,1.8,0.018
2019-07-01,Food,1.5,0.015
2019-08-01,Food,1,0.01
2019-09-01,Food,0.8,0.008
2019-10-01,Food,1.6,0.016
2019-11-01,Food,2,0.02
2019-12-01,Food,1.9,0.019
2020-01-01,Food,2.2,0.022
2020-02-01,Food,4.3,0.043
2020-03-01,Food,6.1,0.061
2020-04-01,Food,-8.2,-0.082
2020-05-01,Food,-7.6,-0.076
2020-06-01,Food,-3,-0.03
2020-07-01,Food,-0.4,-0.004
2020-08-01,Food,-2.1,-0.021
2020-09-01,Food,-2.2,-0.022
2020-10-01,Food,-1.2,-0.012
2020-11-01,Food,-3.2,-0.032
2020-12-01,Food,-2.7,-0.027
2021-01-01,Food,-0.4,-0.004
2021-02-01,Food,-2.3,-0.023
2021-03-01,Food,-5.4,-0.054
2021-04-01,Food,11,0.11
2021-05-01,Food,9.1,0.091
2021-06-01,Food,4.2,0.042
2021-07-01,Food,2.4,0.024
2021-08-01,Food,3.3,0.033
2021-09-01,Food,3.5,0.035
2021-10-01,Food,2.9,0.029
2021-11-01,Food,2.6,0.026
2021-12-01,Food,2.9,0.029
2022-01-01,Food,1.7,0.017
2022-02-01,Food,3.4,0.034
2022-03-01,Food,4.7,0.047
2022-04-01,Food,-1.9,-0.019
2022-05-01,Food,-2.1,-0.021
2022-06-01,Food,-2.5,-0.025
2022-07-01,Food,-2.3,-0.023
2022-08-01,Food,-3,-0.03
2022-09-01,Food,-4.2,-0.042
2022-10-01,Food,-4.5,-0.045
2022-11-01,Food,-3.4,-0.034
2022-12-01,Food,-3.8,-0.038
2023-01-01,Food,-3.4,-0.034
2023-02-01,Food,-3.5,-0.035
2023-03-01,Food,-3,-0.03
2023-04-01,Food,3.3,0.033
2015-01-01,Other goods,-3.6,-0.036
2015-02-01,Other goods,-7.5,-0.075
2015-03-01,Other goods,-10.2,-0.102
2015-04-01,Other goods,-10.8,-0.108
2015-05-01,Other goods,-10,-0.1
2015-06-01,Other goods,-10,-0.1
2015-07-01,Other goods,-10,-0.1
2015-08-01,Other goods,-9.1,-0.091
2015-09-01,Other goods,-11.7,-0.117
2015-10-01,Other goods,-12.4,-0.124
2015-11-01,Other goods,-14,-0.14
2015-12-01,Other goods,-17.6,-0.176
2016-01-01,Other goods,-6.7,-0.067
2016-02-01,Other goods,-4,-0.04
2016-03-01,Other goods,-5,-0.05
2016-04-01,Other goods,-3.8,-0.038
2016-05-01,Other goods,-4.6,-0.046
2016-06-01,Other goods,-4.6,-0.046
2016-07-01,Other goods,-3.9,-0.039
2016-08-01,Other goods,-3.6,-0.036
2016-09-01,Other goods,-2.2,-0.022
2016-10-01,Other goods,-3.5,-0.035
2016-11-01,Other goods,-4,-0.04
2016-12-01,Other goods,-4.5,-0.045
2017-01-01,Other goods,-1.3,-0.013
2017-02-01,Other goods,-2,-0.02
2017-03-01,Other goods,0.7,0.007
2017-04-01,Other goods,0.6,0.006
2017-05-01,Other goods,1.5,0.015
2017-06-01,Other goods,2.6,0.026
2017-07-01,Other goods,4.3,0.043
2017-08-01,Other goods,-1,-0.01
2017-09-01,Other goods,2.3,0.023
2017-10-01,Other goods,3,0.03
2017-11-01,Other goods,3.2,0.032
2017-12-01,Other goods,2.9,0.029
2018-01-01,Other goods,3.1,0.031
2018-02-01,Other goods,2,0.02
2018-03-01,Other goods,3,0.03
2018-04-01,Other goods,3.6,0.036
2018-05-01,Other goods,3.1,0.031
2018-06-01,Other goods,3,0.03
2018-07-01,Other goods,3.6,0.036
2018-08-01,Other goods,4.5,0.045
2018-09-01,Other goods,4.4,0.044
2018-10-01,Other goods,3.6,0.036
2018-11-01,Other goods,4.5,0.045
2018-12-01,Other goods,3.4,0.034
2019-01-01,Other goods,2.2,0.022
2019-02-01,Other goods,2.7,0.027
2019-03-01,Other goods,2.5,0.025
2019-04-01,Other goods,2.2,0.022
2019-05-01,Other goods,1.6,0.016
2019-06-01,Other goods,1.9,0.019
2019-07-01,Other goods,1.5,0.015
2019-08-01,Other goods,1.3,0.013
2019-09-01,Other goods,1.1,0.011
2019-10-01,Other goods,2.2,0.022
2019-11-01,Other goods,3.1,0.031
2019-12-01,Other goods,1.8,0.018
2020-01-01,Other goods,3.4,0.034
2020-02-01,Other goods,5.4,0.054
2020-03-01,Other goods,7.7,0.077
2020-04-01,Other goods,-35.0,-0.35
2020-05-01,Other goods,-26.8,-0.268
2020-06-01,Other goods,-8.8,-0.088
2020-07-01,Other goods,-0.4,-0.004
2020-08-01,Other goods,0.8,0.008
2020-09-01,Other goods,-0.1,-0.001
2020-10-01,Other goods,0.5,0.005
2020-11-01,Other goods,-1.6,-0.016
2020-12-01,Other goods,-1.7,-0.017
2021-01-01,Other goods,2.7,0.027
2021-02-01,Other goods,0.9,0.009
2021-03-01,Other goods,0.5,0.005
2021-04-01,Other goods,70.2,0.702
2021-05-01,Other goods,51.2,0.512
2021-06-01,Other goods,18.8,0.188
2021-07-01,Other goods,8.8,0.088
2021-08-01,Other goods,8,0.08
2021-09-01,Other goods,8.7,0.087
2021-10-01,Other goods,6.1,0.061
2021-11-01,Other goods,4.6,0.046
2021-12-01,Other goods,8.2,0.082
2022-01-01,Other goods,7.1,0.071
2022-02-01,Other goods,10.3,0.103
2022-03-01,Other goods,1.5,0.015
2022-04-01,Other goods,-16.1,-0.161
2022-05-01,Other goods,-16.3,-0.163
2022-06-01,Other goods,-15.3,-0.153
2022-07-01,Other goods,-14.9,-0.149
2022-08-01,Other goods,-14.6,-0.146
2022-09-01,Other goods,-16.5,-0.165
2022-10-01,Other goods,-15.1,-0.151
2022-11-01,Other goods,-11.7,-0.117
2022-12-01,Other goods,-16.1,-0.161
2023-01-01,Other goods,-11.7,-0.117
2023-02-01,Other goods,-13.6,-0.136
2023-03-01,Other goods,-7,-0.07
2023-04-01,Other goods,11.7,0.117
