Date,Age group,Value (%),Detail
2001-01-01,18-59,3.314704,US
2002-01-01,18-59,3.692272,
2003-01-01,18-59,3.768423,
2004-01-01,18-59,3.682093,
2005-01-01,18-59,3.688717,
2006-01-01,18-59,3.863968,
2007-01-01,18-59,3.95498,
2008-01-01,18-59,5.51751,
2009-01-01,18-59,5.595002,
2010-01-01,18-59,5.203984,
2011-01-01,18-59,5.389602,
2012-01-01,18-59,5.323605,
2013-01-01,18-59,5.387693,
2014-01-01,18-59,5.584848,
2015-01-01,18-59,4.903634,
2016-01-01,18-59,4.371687,
2017-01-01,18-59,4.236844,
2018-01-01,18-59,4.014218,
2019-01-01,18-59,3.644651,
2020-04-01,18-59,12.33454,
2020-05-01,18-59,12.10371,
2020-06-01,18-59,12.69368,
2020-07-01,18-59,13.24254,
2020-09-01,18-59,12.93152,
2020-10-01,18-59,13.1491,
2020-12-01,18-59,15.67298,
2021-01-01,18-59,13.52887,
2021-03-01,18-59,13.24529,
2001-01-01,60+,1.53343,
2002-01-01,60+,1.700812,
2003-01-01,60+,1.770963,
2004-01-01,60+,1.913764,
2005-01-01,60+,1.725229,
2006-01-01,60+,1.852301,
2007-01-01,60+,2.43205,
2008-01-01,60+,2.833815,
2009-01-01,60+,2.606572,
2010-01-01,60+,2.773869,
2011-01-01,60+,3.049275,
2012-01-01,60+,3.428005,
2013-01-01,60+,3.418865,
2014-01-01,60+,3.595898,
2015-01-01,60+,3.247709,
2016-01-01,60+,3.065908,
2017-01-01,60+,2.906671,
2018-01-01,60+,2.86055,
2019-01-01,60+,2.774016,
2020-04-01,60+,3.670746,
2020-05-01,60+,4.789208,
2020-06-01,60+,3.742025,
2020-07-01,60+,4.934003,
2020-09-01,60+,5.002088,
2020-10-01,60+,6.05412,
2020-12-01,60+,6.018851,
2021-01-01,60+,5.621318,
2021-03-01,60+,4.741572,
