Date,City category,Footfall index,Detail
2020-02-13,London,89.97871938,% of pre-lockdown levels
2020-02-17,London,103.3968138,Week commencing
2020-02-24,London,101.8680271,
2020-03-02,London,94.2858403,
2020-03-09,London,75.90180775,
2020-03-16,London,35.04080624,
2020-03-23,London,13.81641695,
2020-03-30,London,10.81397464,
2020-04-06,London,11.21367546,
2020-04-13,London,11.28920514,
2020-04-20,London,12.81578662,
2020-04-27,London,12.49492334,
2020-05-04,London,12.44254875,
2020-05-11,London,14.24864515,
2020-05-18,London,15.53154696,
2020-05-25,London,15.39316778,
2020-06-01,London,17.36686287,
2020-06-08,London,18.04387337,
2020-06-15,London,19.06765878,
2020-06-22,London,19.7408101,
2020-06-29,London,23.01615159,
2020-07-06,London,25.6392916,
2020-07-13,London,25.59298144,
2020-07-20,London,25.75120783,
2020-07-27,London,27.37371751,
2020-08-03,London,27.69237555,
2020-08-10,London,27.76404604,
2020-08-17,London,29.47586818,
2020-08-24,London,31.47326966,
2020-08-31,London,32.57754655,
2020-09-07,London,35.74648493,
2020-09-14,London,36.36836428,
2020-09-21,London,35.33520657,
2020-09-28,London,34.70946804,
2020-10-05,London,35.99567772,
2020-10-12,London,35.40301788,
2020-10-19,London,33.96409492,
2020-10-26,London,31.75664376,
2020-11-02,London,26.02300439,
2020-11-09,London,21.22659453,
2020-11-16,London,21.96314667,
2020-11-23,London,22.63133618,
2020-11-30,London,29.19966113,
2020-12-07,London,31.62157245,
2020-12-14,London,24.89446979,
2020-12-21,London,12.35213367,
2020-12-28,London,12.00012129,
2021-01-01,London,8.948152831,
2021-01-04,London,13.75025958,
2021-01-11,London,13.47791171,
2021-01-18,London,13.89856236,
2021-01-25,London,13.26400285,
2021-02-01,London,12.98889842,
2021-02-08,London,13.03410597,
2021-02-15,London,14.64062761,
2021-02-22,London,14.99291565,
2021-03-01,London,16.29538901,
2020-02-13,Large,95.47329512,
2020-02-17,Large,102.2124605,
2020-02-24,Large,101.392067,
2020-03-02,Large,97.86330346,
2020-03-09,Large,88.10046759,
2020-03-16,Large,47.0631902,
2020-03-23,Large,17.09280702,
2020-03-30,Large,12.94798307,
2020-04-06,Large,13.29389526,
2020-04-13,Large,13.14007148,
2020-04-20,Large,14.84055132,
2020-04-27,Large,14.771675,
2020-05-04,Large,14.43494631,
2020-05-11,Large,16.27164821,
2020-05-18,Large,17.60096121,
2020-05-25,Large,18.35171311,
2020-06-01,Large,20.21520024,
2020-06-08,Large,20.8281995,
2020-06-15,Large,24.23451622,
2020-06-22,Large,32.58003046,
2020-06-29,Large,41.38701605,
2020-07-06,Large,45.60760395,
2020-07-13,Large,46.33004002,
2020-07-20,Large,48.59683628,
2020-07-27,Large,50.97536524,
2020-08-03,Large,52.61615226,
2020-08-10,Large,54.42453834,
2020-08-17,Large,56.87577008,
2020-08-24,Large,60.42902295,
2020-08-31,Large,57.68238832,
2020-09-07,Large,59.58107891,
2020-09-14,Large,60.6172849,
2020-09-21,Large,61.91139444,
2020-09-28,Large,61.30987457,
2020-10-05,Large,59.36832761,
2020-10-12,Large,56.50536853,
2020-10-19,Large,56.75332328,
2020-10-26,Large,44.38390131,
2020-11-02,Large,35.02973161,
2020-11-09,Large,29.04055285,
2020-11-16,Large,29.50278949,
2020-11-23,Large,28.84157681,
2020-11-30,Large,36.1570074,
2020-12-07,Large,37.57585961,
2020-12-14,Large,36.94449334,
2020-12-21,Large,24.81996495,
2020-12-28,Large,25.78614668,
2021-01-01,Large,13.30869092,
2021-01-04,Large,17.96370983,
2021-01-11,Large,17.32316005,
2021-01-18,Large,18.21319517,
2021-01-25,Large,18.47875165,
2021-02-01,Large,18.16268587,
2021-02-08,Large,18.38079422,
2021-02-15,Large,19.88918565,
2021-02-22,Large,21.27819146,
2021-03-01,Large,23.03530294,
2020-02-13,Medium,97.72925942,
2020-02-17,Medium,104.2751632,
2020-02-24,Medium,99.60959782,
2020-03-02,Medium,98.53321382,
2020-03-09,Medium,91.56005304,
2020-03-16,Medium,58.14029291,
2020-03-23,Medium,21.81511086,
2020-03-30,Medium,17.81404411,
2020-04-06,Medium,18.93413537,
2020-04-13,Medium,19.26156946,
2020-04-20,Medium,21.3017357,
2020-04-27,Medium,20.76984051,
2020-05-04,Medium,20.88762788,
2020-05-11,Medium,23.5233982,
2020-05-18,Medium,26.1391669,
2020-05-25,Medium,28.6941899,
2020-06-01,Medium,28.70974672,
2020-06-08,Medium,29.49425509,
2020-06-15,Medium,35.59993777,
2020-06-22,Medium,49.78776048,
2020-06-29,Medium,60.69531591,
2020-07-06,Medium,66.15650164,
2020-07-13,Medium,67.5432813,
2020-07-20,Medium,70.75687649,
2020-07-27,Medium,75.84840246,
2020-08-03,Medium,78.79382765,
2020-08-10,Medium,80.09763759,
2020-08-17,Medium,85.07285779,
2020-08-24,Medium,89.99548111,
2020-08-31,Medium,87.41601168,
2020-09-07,Medium,86.89893251,
2020-09-14,Medium,86.59224085,
2020-09-21,Medium,86.17442903,
2020-09-28,Medium,87.08783679,
2020-10-05,Medium,86.51149353,
2020-10-12,Medium,84.71282845,
2020-10-19,Medium,84.35650312,
2020-10-26,Medium,64.47932795,
2020-11-02,Medium,46.51638282,
2020-11-09,Medium,38.65722392,
2020-11-16,Medium,39.44321389,
2020-11-23,Medium,39.93288342,
2020-11-30,Medium,54.90225129,
2020-12-07,Medium,57.54320722,
2020-12-14,Medium,54.42665699,
2020-12-21,Medium,34.77394454,
2020-12-28,Medium,33.07899162,
2021-01-01,Medium,19.67246714,
