Year,Value,Detail
1901,37.8,Public sector net debt
1902,41,"ONS/HM Treasury Public Sector Finances Statistical Bulletin, OBR"
1903,43,
1904,42.9,
1905,41.8,
1906,39.8,
1907,37.9,
1908,38.2,
1909,37.7,
1910,36.7,
1911,33.9,
1912,31.9,
1913,30.2,
1914,29.4,
1915,42,
1916,67.8,
1917,103.1,
1918,125.5,
1919,144.2,
1920,139.3,
1921,152.3,
1922,174.6,
1923,187.5,
1924,183.6,
1925,177.1,
1926,179.8,
1927,174.3,
1928,171.5,
1929,168.7,
1930,169.4,
1931,178.4,
1932,186.1,
1933,189.8,
1934,185.9,
1935,174.9,
1936,165.9,
1937,155.7,
1938,154.2,
1939,147.5,
1940,136.7,
1941,144,
1942,158.5,
1943,176.7,
1944,200.8,
1945,233.4,
1946,246.8,
1947,251.8,
1948,230.2,
1949,210.8,
1950,205,
1951,185.7,
1952,169.5,
1953,158.5,
1954,152.7,
1955,143.3,
1956,132.5,
1957,123.9,
1958,118.4,
1959,114.3,
1960,107.6,
1961,102.5,
1962,99.5,
1963,98.3,
1964,90.7,
1965,84.2,
1966,80.9,
1967,77.7,
1968,77,
1969,69.8,
1970,61.1,
1971,54.7,
1972,52.6,
1973,46.6,
1974,45.2,
1975,47.8,
1976,49.4,
1977,47.8,
1978,44.4,
1979,42.2,
1980,39.1,
1981,40.4,
1982,40.1,
1983,38.7,
1984,38.9,
1985,38.7,
1986,37.1,
1987,34.8,
1988,31,
1989,25.6,
1990,23.1,
1991,21.7,
1992,22.9,
1993,26.7,
1994,31.2,
1995,34.6,
1996,36.1,
1997,36.7,
1998,35.7,
1999,33.9,
2000,31.3,
2001,27.2,
2002,26.8,
2003,28.1,
2004,29.3,
2005,31.8,
2006,32.6,
2007,33.4,
2008,34.2,
2009,48.7,
2010,62.6,
2011,69.2,
2012,72.8,
2013,76.2,
2014,78,
2015,80.2,
2016,79.8,
2017,82.5,
2018,82.1,
2019,80.4,
2020,84.4,
2021,100.2,
