Date,Pound to Euro
2015 JAN,1.3045
2015 FEB,1.3503
2015 MAR,1.3825
2015 APR,1.3856
2015 MAY,1.3852
2015 JUN,1.3879
2015 JUL,1.4139
2015 AUG,1.4004
2015 SEP,1.3665
2015 OCT,1.3657
2015 NOV,1.4168
2015 DEC,1.3769
2016 JAN,1.3257
2016 FEB,1.289
2016 MAR,1.2809
2016 APR,1.2622
2016 MAY,1.2846
2016 JUN,1.2646
2016 JUL,1.1884
2016 AUG,1.1687
2016 SEP,1.1722
2016 OCT,1.119
2016 NOV,1.1533
2016 DEC,1.1838
2017 JAN,1.1613
2017 FEB,1.1732
2017 MAR,1.1548
2017 APR,1.1798
2017 MAY,1.1696
2017 JUN,1.1403
2017 JUL,1.1281
2017 AUG,1.0974
2017 SEP,1.1186
2017 OCT,1.1227
2017 NOV,1.1259
2017 DEC,1.133
2018 JAN,1.1331
2018 FEB,1.1311
2018 MAR,1.1328
2018 APR,1.1477
2018 MAY,1.1397
2018 JUN,1.1378
2018 JUL,1.1269
2018 AUG,1.1157
2018 SEP,1.1195
2018 OCT,1.133
2018 NOV,1.1352
2018 DEC,1.1128
2019 JAN,1.1298
2019 FEB,1.1473
2019 MAR,1.1653
2019 APR,1.1603
2019 MAY,1.1479
2019 JUN,1.1225
2019 JUL,1.1118
2019 AUG,1.0925
2019 SEP,1.1223
2019 OCT,1.144
2019 NOV,1.166
2019 DEC,1.1791
2020 JAN,1.1779
2020 FEB,1.1882
2020 MAR,1.1193
2020 APR,1.1419
2020 MAY,1.1275
2020 JUN,1.1123
2020 JUL,1.1059
2020 AUG,1.11
2020 SEP,1.0993
2020 OCT,1.1032
2020 NOV,1.1164
2020 DEC,1.1039
