Sugar intensity (g per 100ml),Number of products,Tax (pence per g sugar),Detail
0,31,0,2016
0.5,11,0,
1,12,0,
1.5,7,0,
2,18,0,
2.5,28,0,
3,42,0,
3.5,69,0,
4,116,0,
4.5,90,0,
5,57,0.3529412,
5.5,42,0.3396226,
6,61,0.3130435,
6.5,85,0.2866242,
7,108,0.2647059,
7.5,101,0.2465753,
8,263,0.2996255,
8.5,270,0.2891566,
9,211,0.2733485,
9.5,265,0.2594595,
10,333,0.2461538,
10.5,252,0.2330097,
11,265,0.2222222,
11.5,88,0.2123894,
12,91,0.2033898,
12.5,59,0.1951219,
13,80,0.1875,
13.5,30,0.1804511,
14,34,0.173913,
14.5,15,0.1678322,
15,40,0.1626016,
15.5,18,0.157377,
16,8,0.1509434,
16.5,4,0.1472393,
17,0,0.14180145,
17.5,2,0.1363636,
18,1,0.1340782,
18.5,0,0.130197,
19,1,0.1263158,
19.5,0,0.1231579,
20,1,0.12,
