Sugar intensity (g per 100ml),Number of products ,Tax (pence per g sugar),Detail
0,40,0,2019
0.5,8,0,
1,17,0,
1.5,11,0,
2,18,0,
2.5,37,0,
3,39,0,
3.5,75,0,
4,160,0,
4.5,333,0,
5,244,0.3529412,
5.5,35,0.3396226,
6,25,0.3130435,
6.5,44,0.2866242,
7,117,0.2647059,
7.5,244,0.2465753,
8,217,0.2996255,
8.5,125,0.2891566,
9,175,0.2733485,
9.5,145,0.2594595,
10,168,0.2461538,
10.5,123,0.2330097,
11,163,0.2222222,
11.5,35,0.2123894,
12,38,0.2033898,
12.5,33,0.1951219,
13,40,0.1875,
13.5,10,0.1804511,
14,12,0.173913,
14.5,5,0.1678322,
15,5,0.1626016,
15.5,2,0.157377,
16,7,0.1509434,
16.5,3,0.1472393,
17,0,0.14180145,
17.5,1,0.1363636,
18,1,0.1340782,
18.5,0,0.130197,
19,0,0.1263158,
19.5,0,0.1231579,
20,0,0.12,
