name,year,Wealth as proportion of GDP
Blake & Orszag,1948,374.62
Blake & Orszag,1949,358.29
Blake & Orszag,1950,356.36
Blake & Orszag,1951,334.20
Blake & Orszag,1952,314.75
Blake & Orszag,1953,297.87
Blake & Orszag,1954,292.03
Blake & Orszag,1955,282.97
Blake & Orszag,1956,273.25
Blake & Orszag,1957,268.13
Blake & Orszag,1958,269.93
Blake & Orszag,1959,272.12
Blake & Orszag,1960,271.28
Blake & Orszag,1961,276.43
Blake & Orszag,1962,284.57
Blake & Orszag,1963,288.74
Blake & Orszag,1964,290.20
Blake & Orszag,1965,277.03
Blake & Orszag,1966,264.59
Blake & Orszag,1967,277.32
Blake & Orszag,1968,264.46
Blake & Orszag,1969,258.18
Blake & Orszag,1970,242.14
Blake & Orszag,1971,250.98
Blake & Orszag,1972,264.09
Blake & Orszag,1973,278.04
Blake & Orszag,1974,255.05
Blake & Orszag,1975,236.44
Blake & Orszag,1976,221.05
Blake & Orszag,1977,226.12
Blake & Orszag,1978,237.14
Blake & Orszag,1979,251.08
Blake & Orszag,1980,249.79
Blake & Orszag,1981,243.38
Blake & Orszag,1982,254.00
Blake & Orszag,1983,265.00
Blake & Orszag,1984,280.20
Blake & Orszag,1985,284.68
Blake & Orszag,1986,302.02
Blake & Orszag,1987,311.64
Blake & Orszag,1988,331.66
Blake & Orszag,1989,338.38
Blake & Orszag,1990,319.73
Blake & Orszag,1991,323.64
Blake & Orszag,1992,323.35
Blake & Orszag,1993,347.83
Blake & Orszag,1994,335.68
Atkinson,1950,450.83
Atkinson,1951,432.30
Atkinson,1952,379.57
Atkinson,1953,388.12
Atkinson,1954,373.87
Atkinson,1955,363.90
Atkinson,1956,353.92
Atkinson,1957,348.22
Atkinson,1958,352.49
Atkinson,1959,351.07
Atkinson,1960,345.37
Atkinson,1961,348.22
Atkinson,1962,358.19
Atkinson,1963,361.05
Atkinson,1964,365.32
Atkinson,1965,345.37
Atkinson,1966,332.54
Atkinson,1967,352.49
Atkinson,1968,345.37
Atkinson,1969,339.67
Atkinson,1970,325.42
Atkinson,1971,339.67
Atkinson,1972,355.34
Atkinson,1973,372.45
Atkinson,1974,336.82
Atkinson,1975,304.04
Atkinson,1976,285.51
Atkinson,1977,292.64
Atkinson,1978,291.21
Atkinson,1979,291.21
Atkinson,1980,304.04
Atkinson,1981,299.76
Atkinson,1982,298.34
Atkinson,1983,309.74
Atkinson,1984,314.01
Atkinson,1985,322.57
Atkinson,1986,331.12
Atkinson,1987,375.30
Atkinson,1988,408.08
Atkinson,1989,416.63
Atkinson,1990,399.52
Atkinson,1991,393.82
Atkinson,1992,372.45
Atkinson,1993,383.85
Atkinson,1994,373.87
Atkinson,1995,371.02
Atkinson,1996,362.47
Atkinson,1997,365.32
Atkinson,1998,392.40
Atkinson,1999,420.90
Atkinson,2000,435.15
Atkinson,2001,455.11
Atkinson,2002,455.11
Atkinson,2003,473.63
Atkinson,2004,513.54
Atkinson,2005,536.34
Atkinson,2006,536.34
Atkinson,2007,453.68
Atkinson,2008,516.39
Atkinson,2009,532.07
WAS,2007,543.68
WAS,2009,578.65
WAS,2011,568.99
WAS,2013,624.77
WAS,2015,666.60
WAS,2017,706.19
