Date,Year,Value,Detail
01-01,2019,102167,Number of commercial flights (7-day average)
02-01,2019,103033,
03-01,2019,103196,
04-01,2019,103128,
05-01,2019,102787,
06-01,2019,103037,
07-01,2019,105061,
08-01,2019,106999,
09-01,2019,106891,
10-01,2019,106436,
11-01,2019,106176,
12-01,2019,105396,
13-01,2019,104549,
14-01,2019,104209,
15-01,2019,104024,
16-01,2019,103896,
17-01,2019,104050,
18-01,2019,104458,
19-01,2019,104300,
20-01,2019,103992,
21-01,2019,103909,
22-01,2019,104033,
23-01,2019,103952,
24-01,2019,103973,
25-01,2019,104119,
26-01,2019,104612,
27-01,2019,105182,
28-01,2019,105050,
29-01,2019,105035,
30-01,2019,105084,
31-01,2019,105011,
01-02,2019,104960,
02-02,2019,105079,
03-02,2019,104914,
04-02,2019,104895,
05-02,2019,104867,
06-02,2019,105042,
07-02,2019,105114,
08-02,2019,105055,
09-02,2019,104956,
10-02,2019,105190,
11-02,2019,105622,
12-02,2019,105488,
13-02,2019,105297,
14-02,2019,105724,
15-02,2019,106192,
16-02,2019,106544,
17-02,2019,106606,
18-02,2019,106757,
19-02,2019,107260,
20-02,2019,107225,
21-02,2019,107084,
22-02,2019,106857,
23-02,2019,106751,
24-02,2019,106964,
25-02,2019,107007,
26-02,2019,107356,
27-02,2019,108085,
28-02,2019,108302,
01-03,2019,108395,
02-03,2019,108441,
03-03,2019,108405,
04-03,2019,108250,
05-03,2019,108180,
06-03,2019,108245,
07-03,2019,108247,
08-03,2019,108199,
09-03,2019,108183,
10-03,2019,108574,
11-03,2019,109198,
12-03,2019,109203,
13-03,2019,108891,
14-03,2019,108651,
15-03,2019,108772,
16-03,2019,108940,
17-03,2019,108935,
18-03,2019,108873,
19-03,2019,108996,
20-03,2019,109463,
21-03,2019,109829,
22-03,2019,109827,
23-03,2019,109705,
24-03,2019,109705,
25-03,2019,109044,
26-03,2019,108515,
27-03,2019,108412,
28-03,2019,108493,
29-03,2019,108443,
30-03,2019,108436,
31-03,2019,108604,
01-04,2019,109471,
02-04,2019,110391,
03-04,2019,110874,
04-04,2019,111207,
05-04,2019,111453,
06-04,2019,111649,
07-04,2019,111645,
08-04,2019,111657,
09-04,2019,111711,
10-04,2019,110815,
11-04,2019,107306,
12-04,2019,107548,
13-04,2019,107926,
14-04,2019,107889,
15-04,2019,108035,
16-04,2019,108405,
17-04,2019,109615,
18-04,2019,113411,
19-04,2019,112605,
20-04,2019,112414,
21-04,2019,112364,
22-04,2019,112311,
23-04,2019,112427,
24-04,2019,112403,
25-04,2019,112508,
26-04,2019,113320,
27-04,2019,113672,
28-04,2019,114231,
29-04,2019,114498,
30-04,2019,114268,
01-05,2019,114037,
02-05,2019,113797,
03-05,2019,114062,
04-05,2019,114211,
05-05,2019,114290,
06-05,2019,114318,
07-05,2019,114439,
08-05,2019,114463,
09-05,2019,114343,
10-05,2019,114322,
11-05,2019,114083,
12-05,2019,113675,
13-05,2019,113632,
14-05,2019,113685,
15-05,2019,114107,
16-05,2019,114573,
17-05,2019,114698,
18-05,2019,114811,
19-05,2019,115121,
20-05,2019,115251,
21-05,2019,115216,
22-05,2019,115369,
23-05,2019,115480,
24-05,2019,115797,
25-05,2019,116010,
26-05,2019,115514,
27-05,2019,114936,
28-05,2019,114943,
29-05,2019,114822,
30-05,2019,114723,
31-05,2019,114710,
01-06,2019,115205,
02-06,2019,116372,
03-06,2019,117689,
04-06,2019,118343,
05-06,2019,118714,
06-06,2019,119253,
07-06,2019,119610,
08-06,2019,119762,
09-06,2019,119732,
10-06,2019,119598,
11-06,2019,120087,
12-06,2019,120564,
13-06,2019,120906,
14-06,2019,121333,
15-06,2019,121558,
16-06,2019,121787,
17-06,2019,122204,
18-06,2019,122191,
19-06,2019,122324,
20-06,2019,122285,
21-06,2019,122100,
22-06,2019,122113,
23-06,2019,122313,
24-06,2019,122354,
25-06,2019,122346,
26-06,2019,122408,
27-06,2019,122822,
28-06,2019,123014,
29-06,2019,123285,
30-06,2019,123304,
01-07,2019,123088,
02-07,2019,122930,
03-07,2019,122875,
04-07,2019,121502,
05-07,2019,120326,
06-07,2019,120103,
07-07,2019,120591,
08-07,2019,121323,
09-07,2019,122033,
10-07,2019,122356,
11-07,2019,123687,
12-07,2019,125118,
13-07,2019,125684,
14-07,2019,125618,
15-07,2019,125484,
16-07,2019,125453,
17-07,2019,125329,
18-07,2019,125431,
19-07,2019,125423,
20-07,2019,125406,
21-07,2019,125372,
22-07,2019,125253,
23-07,2019,125155,
24-07,2019,125378,
25-07,2019,125506,
26-07,2019,125508,
27-07,2019,125507,
28-07,2019,125581,
29-07,2019,125457,
30-07,2019,125281,
31-07,2019,124986,
01-08,2019,124764,
02-08,2019,124615,
03-08,2019,124656,
04-08,2019,124604,
05-08,2019,124609,
06-08,2019,124485,
07-08,2019,124282,
08-08,2019,124191,
09-08,2019,123933,
10-08,2019,123506,
11-08,2019,123233,
12-08,2019,123140,
13-08,2019,123122,
14-08,2019,123391,
15-08,2019,123261,
16-08,2019,123491,
17-08,2019,123668,
18-08,2019,123840,
19-08,2019,123923,
20-08,2019,124042,
21-08,2019,123948,
